alphabet,k,shared_kmers,regions
hp_lehninger2,6,3244,1543
hp_lehninger2,8,923,406
hp_lehninger2,10,290,133
hp_lehninger2,12,83,37
hp_lehninger2,15,15,5
hp_lehninger2,18,4,1
hp_lehninger2,20,2,1
hp_lehninger2,24,0,0
hp_lehninger2,28,0,0
polarity4,6,550,327
polarity4,8,84,54
polarity4,10,10,7
polarity4,12,1,1
polarity4,15,0,0
polarity4,18,0,0
polarity4,20,0,0
polarity4,24,0,0
polarity4,28,0,0
funcgroups8,6,58,42
funcgroups8,8,2,2
funcgroups8,10,0,0
funcgroups8,12,0,0
funcgroups8,15,0,0
funcgroups8,18,0,0
funcgroups8,20,0,0
funcgroups8,24,0,0
funcgroups8,28,0,0
protein20,6,0,0
protein20,8,0,0
protein20,10,0,0
protein20,12,0,0
protein20,15,0,0
protein20,18,0,0
protein20,20,0,0
protein20,24,0,0
protein20,28,0,0
