benchmark_name,low_ns,avg_ns,high_ns,encoding_type,test_group
proteome_index_encode_kmer_protein_5,47.162,47.473,47.791,protein,proteome_index
proteome_index_encode_kmer_protein_10,52.064,52.471,52.838,protein,proteome_index
proteome_index_encode_kmer_protein_15,56.522,56.924,57.346,protein,proteome_index
proteome_index_encode_kmer_protein_20,62.034,62.493,62.989,protein,proteome_index
proteome_index_encode_kmer_hp_5,73.148,73.707,74.244,hp,proteome_index
proteome_index_encode_kmer_hp_10,102.88,103.48,103.98,hp,proteome_index
proteome_index_encode_kmer_hp_15,141.11,141.64,142.13,hp,proteome_index
proteome_index_encode_kmer_hp_20,173.91,174.29,174.69,hp,proteome_index
proteome_index_encode_kmer_dayhoff_5,72.46,72.87,73.29,dayhoff,proteome_index
proteome_index_encode_kmer_dayhoff_10,103.27,103.85,104.38,dayhoff,proteome_index
proteome_index_encode_kmer_dayhoff_15,141.3,141.92,142.5,dayhoff,proteome_index
proteome_index_encode_kmer_dayhoff_20,173.07,173.44,173.8,dayhoff,proteome_index
encodings_encode_kmer_protein_5,50.748,51.121,51.457,protein,with_encoding_fn
encodings_encode_kmer_protein_10,53.549,53.868,54.159,protein,with_encoding_fn
encodings_encode_kmer_protein_15,58.61,59.035,59.457,protein,with_encoding_fn
encodings_encode_kmer_protein_20,65.71,66.287,67.024,protein,with_encoding_fn
encodings_encode_kmer_hp_5,75.246,75.616,76.016,hp,with_encoding_fn
encodings_encode_kmer_hp_10,105.38,105.77,106.13,hp,with_encoding_fn
encodings_encode_kmer_hp_15,143.74,144.26,144.98,hp,with_encoding_fn
encodings_encode_kmer_hp_20,174.04,174.37,174.7,hp,with_encoding_fn
encodings_encode_kmer_dayhoff_5,73.257,73.71,74.188,dayhoff,with_encoding_fn
encodings_encode_kmer_dayhoff_10,104.58,105.01,105.37,dayhoff,with_encoding_fn
encodings_encode_kmer_dayhoff_15,140.68,141.1,141.57,dayhoff,with_encoding_fn
encodings_encode_kmer_dayhoff_20,173.76,174.14,174.54,dayhoff,with_encoding_fn
encodings_encode_kmer_with_encoding_fn_protein_5,49.519,49.736,49.968,protein,with_encoding_fn
encodings_encode_kmer_with_encoding_fn_protein_10,52.138,52.525,52.877,protein,with_encoding_fn
encodings_encode_kmer_with_encoding_fn_protein_15,56.451,56.808,57.154,protein,with_encoding_fn
encodings_encode_kmer_with_encoding_fn_protein_20,61.884,62.687,63.529,protein,with_encoding_fn
encodings_encode_kmer_with_encoding_fn_hp_5,71.528,72.008,72.494,hp,with_encoding_fn
encodings_encode_kmer_with_encoding_fn_hp_10,103.1,103.75,104.44,hp,with_encoding_fn
encodings_encode_kmer_with_encoding_fn_hp_15,139.85,140.43,141.05,hp,with_encoding_fn
encodings_encode_kmer_with_encoding_fn_hp_20,173.26,173.76,174.26,hp,with_encoding_fn
encodings_encode_kmer_with_encoding_fn_dayhoff_5,72.538,73.027,73.544,dayhoff,with_encoding_fn
encodings_encode_kmer_with_encoding_fn_dayhoff_10,101.49,102.08,102.74,dayhoff,with_encoding_fn
encodings_encode_kmer_with_encoding_fn_dayhoff_15,139.03,139.81,140.67,dayhoff,with_encoding_fn
encodings_encode_kmer_with_encoding_fn_dayhoff_20,172.38,173.1,173.83,dayhoff,with_encoding_fn
