benchmark_name,low_ns,avg_ns,high_ns
proteome_index_encode_kmer_protein_5,48.602,49.041,49.5
proteome_index_encode_kmer_protein_10,51.141,51.528,51.924
proteome_index_encode_kmer_protein_15,56.464,56.949,57.43
proteome_index_encode_kmer_protein_20,61.949,62.348,62.733
proteome_index_encode_kmer_hp_5,72.371,72.713,73.06
proteome_index_encode_kmer_hp_10,103.85,104.46,105.07
proteome_index_encode_kmer_hp_15,141.35,141.96,142.56
proteome_index_encode_kmer_hp_20,173.15,174.2,175.48
proteome_index_encode_kmer_dayhoff_5,72.787,73.22,73.67
proteome_index_encode_kmer_dayhoff_10,103.05,103.86,104.64
proteome_index_encode_kmer_dayhoff_15,142.54,143.28,144.06
proteome_index_encode_kmer_dayhoff_20,173.31,174.12,174.94
encodings_encode_kmer_protein_5,50.149,50.694,51.354
encodings_encode_kmer_protein_10,52.878,53.331,53.754
encodings_encode_kmer_protein_15,58.246,58.847,59.437
encodings_encode_kmer_protein_20,64.254,64.813,65.329
encodings_encode_kmer_hp_5,73.962,74.616,75.26
encodings_encode_kmer_hp_10,104.06,104.75,105.4
encodings_encode_kmer_hp_15,143.1,144.02,144.96
encodings_encode_kmer_hp_20,174.22,174.87,175.52
encodings_encode_kmer_dayhoff_5,74.52,75.137,75.764
encodings_encode_kmer_dayhoff_10,105.17,105.8,106.4
encodings_encode_kmer_dayhoff_15,145.09,145.68,146.26
encodings_encode_kmer_dayhoff_20,175.84,176.64,177.42
