alphabet	ksize	bits	penalty	xdrop
dayhoff6	7	15.97	0.41	1.65
dayhoff6	9	20.53	0.41	1.65
dayhoff6	11	25.09	0.41	1.65
dayhoff6	12	27.38	0.41	1.65
dayhoff6	14	31.94	0.41	1.65
dayhoff6	15	34.22	0.41	1.65
dayhoff6	16	36.5	0.41	1.65
dayhoff6	18	41.06	0.41	1.65
dayhoff6	19	43.35	0.41	1.65
funcgroups8	6	16.37	2.0	8.0
funcgroups8	7	19.1	2.0	8.0
funcgroups8	9	24.55	2.0	8.0
funcgroups8	10	27.28	2.0	8.0
funcgroups8	12	32.74	2.0	8.0
funcgroups8	13	35.46	2.0	8.0
funcgroups8	15	40.92	2.0	8.0
funcgroups8	16	43.65	2.0	8.0
gbmr4	10	15.28	0.67	2.7
gbmr4	13	19.86	0.67	2.7
gbmr4	16	24.45	0.67	2.7
gbmr4	18	27.5	0.67	2.7
gbmr4	21	32.08	0.67	2.7
gbmr4	24	36.67	0.67	2.7
gbmr4	26	39.72	0.67	2.7
gbmr4	29	44.31	0.67	2.7
gbmr7	8	15.88	0.32	1.27
gbmr7	10	19.86	0.32	1.27
gbmr7	12	23.83	0.32	1.27
gbmr7	14	27.8	0.32	1.27
gbmr7	16	31.77	0.32	1.27
gbmr7	18	35.74	0.32	1.27
gbmr7	20	39.71	0.32	1.27
gbmr7	22	43.68	0.32	1.27
hp_kyte_doolittle2	17	15.93	1.57	6.28
hp_kyte_doolittle2	21	19.68	1.57	6.28
hp_kyte_doolittle2	26	24.36	1.57	6.28
hp_kyte_doolittle2	30	28.11	1.57	6.28
hp_kyte_doolittle2	34	31.86	1.57	6.28
hp_kyte_doolittle2	38	35.61	1.57	6.28
hp_kyte_doolittle2	43	40.29	1.57	6.28
hp_kyte_doolittle2	47	44.04	1.57	6.28
hp_lehninger2	16	16.0	1.51	6.03
hp_lehninger2	17	17.0	1.51	6.03
hp_lehninger2	19	19.0	1.51	6.03
hp_lehninger2	20	20.0	1.51	6.03
hp_lehninger2	24	24.0	1.51	6.03
hp_lehninger2	28	28.0	1.51	6.03
hp_lehninger2	32	32.0	1.51	6.03
hp_lehninger2	36	36.0	1.51	6.03
hp_lehninger2	40	40.0	1.51	6.03
hp_lehninger2	44	44.0	1.51	6.03
hp_lehninger_c_nonpolar2	16	15.98	1.52	6.08
hp_lehninger_c_nonpolar2	20	19.98	1.52	6.08
hp_lehninger_c_nonpolar2	24	23.97	1.52	6.08
hp_lehninger_c_nonpolar2	28	27.97	1.52	6.08
hp_lehninger_c_nonpolar2	32	31.96	1.52	6.08
hp_lehninger_c_nonpolar2	36	35.96	1.52	6.08
hp_lehninger_c_nonpolar2	40	39.95	1.52	6.08
hp_lehninger_c_nonpolar2	44	43.95	1.52	6.08
hp_lehninger_hpc3	14	15.88	0.87	3.46
hp_lehninger_hpc3	18	20.41	0.87	3.46
hp_lehninger_hpc3	21	23.81	0.87	3.46
hp_lehninger_hpc3	25	28.35	0.87	3.46
hp_lehninger_hpc3	28	31.75	0.87	3.46
hp_lehninger_hpc3	32	36.29	0.87	3.46
hp_lehninger_hpc3	35	39.69	0.87	3.46
hp_lehninger_hpc3	39	44.23	0.87	3.46
hp_pbotc_1st_ed2	16	15.91	1.59	6.35
hp_pbotc_1st_ed2	20	19.88	1.59	6.35
hp_pbotc_1st_ed2	24	23.86	1.59	6.35
hp_pbotc_1st_ed2	28	27.84	1.59	6.35
hp_pbotc_1st_ed2	32	31.81	1.59	6.35
hp_pbotc_1st_ed2	36	35.79	1.59	6.35
hp_pbotc_1st_ed2	40	39.77	1.59	6.35
hp_pbotc_1st_ed2	44	43.74	1.59	6.35
hp_thomas_dill2	17	16.42	1.63	6.53
hp_thomas_dill2	21	20.29	1.63	6.53
hp_thomas_dill2	25	24.15	1.63	6.53
hp_thomas_dill2	29	28.01	1.63	6.53
hp_thomas_dill2	33	31.88	1.63	6.53
hp_thomas_dill2	37	35.74	1.63	6.53
hp_thomas_dill2	41	39.61	1.63	6.53
hp_thomas_dill2	46	44.44	1.63	6.53
hp_thomas_dill_no_c2	17	16.15	1.62	6.47
hp_thomas_dill_no_c2	21	19.95	1.62	6.47
hp_thomas_dill_no_c2	25	23.75	1.62	6.47
hp_thomas_dill_no_c2	29	27.55	1.62	6.47
hp_thomas_dill_no_c2	34	32.3	1.62	6.47
hp_thomas_dill_no_c2	38	36.1	1.62	6.47
hp_thomas_dill_no_c2	42	39.9	1.62	6.47
hp_thomas_dill_no_c2	46	43.7	1.62	6.47
hsdm17	5	18.73	0.18	0.7
hsdm17	6	22.47	0.18	0.7
hsdm17	7	26.22	0.18	0.7
hsdm17	9	33.71	0.18	0.7
hsdm17	10	37.45	0.18	0.7
hsdm17	11	41.2	0.18	0.7
hsdm17	12	44.94	0.18	0.7
mmseqs12	5	16.49	0.22	0.89
mmseqs12	6	19.79	0.22	0.89
mmseqs12	7	23.09	0.22	0.89
mmseqs12	8	26.38	0.22	0.89
mmseqs12	10	32.98	0.22	0.89
mmseqs12	11	36.28	0.22	0.89
mmseqs12	12	39.58	0.22	0.89
