family,superfamily,scop_class,n_queries_k35,n_queries_k36,n_queries_total
d.144.1.0,d.144.1,d,8,4,12
c.37.1.0,c.37.1,c,6,4,10
a.104.1.0,a.104.1,a,5,4,9
d.144.1.7,d.144.1,d,4,4,8
c.82.1.0,c.82.1,c,3,3,6
e.23.1.0,e.23.1,e,3,3,6
f.13.1.0,f.13.1,f,3,3,6
c.129.1.1,c.129.1,c,2,2,4
c.77.1.5,c.77.1,c,2,2,4
c.37.1.8,c.37.1,c,2,2,4
d.258.1.1,d.258.1,d,2,2,4
d.122.1.2,d.122.1,d,2,2,4
c.69.1.0,c.69.1,c,3,1,4
b.47.1.1,b.47.1,b,2,2,4
c.94.1.0,c.94.1,c,2,2,4
d.20.1.1,d.20.1,d,2,2,4
c.71.1.1,c.71.1,c,2,2,4
c.95.1.2,c.95.1,c,2,2,4
d.67.3.1,d.67.3,d,2,2,4
a.128.1.0,a.128.1,a,2,2,4
c.87.1.10,c.87.1,c,2,2,4
c.66.1.0,c.66.1,c,2,2,4
c.37.1.19,c.37.1,c,2,1,3
e.1.1.1,e.1.1,e,3,0,3
e.3.1.0,e.3.1,e,2,1,3
f.26.1.1,f.26.1,f,2,0,2
b.179.1.1,b.179.1,b,1,1,2
a.118.9.1,a.118.9,a,1,1,2
e.23.1.1,e.23.1,e,1,1,2
a.211.1.2,a.211.1,a,2,0,2
d.219.1.0,d.219.1,d,1,1,2
a.298.1.1,a.298.1,a,1,1,2
c.82.1.2,c.82.1,c,1,1,2
f.54.1.1,f.54.1,f,1,1,2
c.69.1.10,c.69.1,c,2,0,2
c.80.1.2,c.80.1,c,1,1,2
d.393.1.1,d.393.1,d,1,1,2
d.32.1.0,d.32.1,d,1,1,2
c.89.1.1,c.89.1,c,1,1,2
d.219.1.1,d.219.1,d,1,1,2
f.18.1.1,f.18.1,f,1,1,2
d.143.1.1,d.143.1,d,1,1,2
d.32.1.3,d.32.1,d,1,1,2
c.111.1.2,c.111.1,c,1,1,2
c.121.1.0,c.121.1,c,1,1,2
f.37.1.0,f.37.1,f,1,1,2
c.69.1.17,c.69.1,c,1,1,2
d.58.21.0,d.58.21,d,2,0,2
c.79.1.1,c.79.1,c,1,1,2
c.7.1.0,c.7.1,c,1,1,2
c.66.1.6,c.66.1,c,1,1,2
c.122.1.0,c.122.1,c,1,1,2
c.33.1.3,c.33.1,c,1,1,2
c.87.1.0,c.87.1,c,2,0,2
a.118.12.1,a.118.12,a,1,1,2
d.3.1.0,d.3.1,d,2,0,2
c.37.1.9,c.37.1,c,1,1,2
c.7.1.1,c.7.1,c,1,1,2
c.119.1.0,c.119.1,c,2,0,2
a.118.29.1,a.118.29,a,1,0,1
a.47.3.1,a.47.3,a,1,0,1
f.1.1.1,f.1.1,f,1,0,1
c.119.1.2,c.119.1,c,1,0,1
b.29.1.2,b.29.1,b,1,0,1
e.1.1.0,e.1.1,e,1,0,1
f.41.1.1,f.41.1,f,1,0,1
f.4.7.2,f.4.7,f,1,0,1
a.102.2.1,a.102.2,a,1,0,1
a.93.1.2,a.93.1,a,1,0,1
c.69.1.12,c.69.1,c,1,0,1
d.161.1.1,d.161.1,d,1,0,1
f.14.1.4,f.14.1,f,1,0,1
c.108.1.0,c.108.1,c,1,0,1
a.196.1.1,a.196.1,a,1,0,1
c.37.1.10,c.37.1,c,1,0,1
a.266.1.2,a.266.1,a,1,0,1
c.47.1.19,c.47.1,c,1,0,1
a.127.1.0,a.127.1,a,1,0,1
c.105.1.1,c.105.1,c,1,0,1
d.178.1.1,d.178.1,d,1,0,1
b.18.1.19,b.18.1,b,1,0,1
e.6.1.0,e.6.1,e,1,0,1
c.94.1.1,c.94.1,c,1,0,1
c.146.1.0,c.146.1,c,1,0,1
a.123.1.1,a.123.1,a,1,0,1
c.93.1.0,c.93.1,c,1,0,1
a.123.1.0,a.123.1,a,1,0,1
c.79.1.0,c.79.1,c,1,0,1
