k,n_queries,n_targets,n_comparisons,n_family_matches,n_superfamily_matches,pct_family,pct_superfamily
20,15174,15174,3563401,16347,38899,0.4587471351105306,1.0916256688483839
21,15163,15163,1781091,10072,22576,0.565496092002037,1.267537705821881
22,15136,15136,890968,6285,13527,0.7054125400687792,1.5182363451886038
23,15053,15053,445291,4024,8273,0.9036787179619619,1.857886191277165
24,14860,14860,223459,2742,5340,1.2270707378087256,2.3897001239601
25,14326,14326,111985,1922,3520,1.7163012903513863,3.1432781176050364
26,12987,12987,56983,1410,2436,2.4744221960935717,4.274959198357404
27,10785,10785,28985,1024,1696,3.5328618250819392,5.851302397791961
28,7960,7960,14925,786,1256,5.266331658291457,8.415410385259632
29,5240,5240,7744,626,962,8.083677685950413,12.422520661157025
30,3141,3141,4095,502,756,12.258852258852258,18.461538461538463
31,1837,1837,2264,398,600,17.579505300353357,26.501766784452297
32,1075,1075,1316,332,484,25.227963525835868,36.77811550151976
33,654,654,816,286,392,35.049019607843135,48.03921568627451
34,395,395,505,229,299,45.34653465346535,59.20792079207921
35,256,256,354,182,242,51.41242937853108,68.36158192090396
36,155,155,243,149,193,61.31687242798354,79.42386831275721
37,107,107,184,128,160,69.56521739130434,86.95652173913044
38,75,75,145,109,137,75.17241379310344,94.48275862068965
39,58,58,120,96,114,80.0,95.0
40,45,45,99,85,95,85.85858585858585,95.95959595959596
41,31,31,78,66,76,84.61538461538461,97.43589743589743
42,26,26,63,51,61,80.95238095238095,96.82539682539682
43,18,18,50,42,48,84.0,96.0
44,16,16,41,35,39,85.36585365853658,95.1219512195122
45,12,12,34,28,32,82.35294117647058,94.11764705882352
