metric,encoding,ksize,scop_level,mean_sensitivity,median_sensitivity,std_sensitivity,q25_sensitivity,q75_sensitivity,n_queries
containment,dayhoff,10,class,0.038069429727620306,0.0,0.09884795282807392,0.0,0.038461538461538464,15051
containment,dayhoff,11,class,0.10070354038911923,0.0,0.19733927736054308,0.0,0.125,14832
containment,dayhoff,12,class,0.220256260145902,0.0,0.34050738883643855,0.0,0.3333333333333333,13945
containment,dayhoff,13,class,0.372945079150975,0.0,0.44553808905471975,0.0,1.0,10818
containment,dayhoff,14,class,0.53193727516988,0.8333333333333334,0.4848299176373148,0.0,1.0,6262
containment,dayhoff,15,class,0.7065862009929805,1.0,0.45038106148577534,0.0,1.0,3245
containment,hp,15,class,0.012921983841702225,0.0,0.05381731710687085,0.0,0.0,15176
containment,hp,16,class,0.009077900645237834,0.0,0.04115202089330448,0.0,0.005018820577164366,15176
containment,hp,17,class,0.00688897378443663,0.0,0.03574841385556592,0.0,0.004424778761061947,15176
containment,hp,18,class,0.006336247361442201,0.0,0.03474655364963439,0.0,0.003484320557491289,15176
containment,hp,19,class,0.008845591996486107,0.0,0.03989430739259764,0.0,0.00558659217877095,15176
containment,hp,20,class,0.01386058007986903,0.0,0.05002071185907891,0.0,0.009523809523809525,15174
containment,protein,5,class,0.024508495488399628,0.0,0.06026683058588878,0.0,0.02734375,15177
containment,protein,6,class,0.13586754561939016,0.0,0.2187320386263701,0.0,0.2,15074
containment,protein,7,class,0.44479899191837835,0.25,0.46330475725458276,0.0,1.0,11474
containment,protein,8,class,0.793407676926288,1.0,0.40105580048956774,1.0,1.0,4003
containment,protein,9,class,0.9578919491525424,1.0,0.20041200124225797,1.0,1.0,1888
containment,protein,10,class,0.9915413533834586,1.0,0.09162416679139533,1.0,1.0,1064
containment_target_in_query,dayhoff,10,class,0.04350189108209353,0.0,0.1252639248964464,0.0,0.029411764705882353,15051
containment_target_in_query,dayhoff,11,class,0.11612952755275106,0.0,0.24089537892510604,0.0,0.1111111111111111,14832
containment_target_in_query,dayhoff,12,class,0.21822540550210318,0.0,0.36189791789020737,0.0,0.3333333333333333,13945
containment_target_in_query,dayhoff,13,class,0.3441267219445758,0.0,0.4471097284668065,0.0,1.0,10818
containment_target_in_query,dayhoff,14,class,0.5125720434754044,0.6666666666666666,0.48858904212145815,0.0,1.0,6262
containment_target_in_query,dayhoff,15,class,0.6946301669568236,1.0,0.456768787048541,0.0,1.0,3245
containment_target_in_query,hp,15,class,0.011042401109344572,0.0,0.04982768414595,0.0,0.0,15176
containment_target_in_query,hp,16,class,0.008393215076307456,0.0,0.04411458693179205,0.0,0.0,15176
containment_target_in_query,hp,17,class,0.009144350020386294,0.0,0.05338258934008531,0.0,0.0,15176
containment_target_in_query,hp,18,class,0.013208535658954988,0.0,0.07906038047974993,0.0,0.0,15176
containment_target_in_query,hp,19,class,0.01597855540345912,0.0,0.08490664805701956,0.0,0.0,15176
containment_target_in_query,hp,20,class,0.02222153321635204,0.0,0.09709216164991515,0.0,0.0,15174
containment_target_in_query,protein,5,class,0.03457210070044764,0.0,0.1392538454508449,0.0,0.01293103448275862,15177
containment_target_in_query,protein,6,class,0.14503086725584494,0.0,0.2652805585315668,0.0,0.2,15074
containment_target_in_query,protein,7,class,0.40936053046042226,0.0,0.46889177921499764,0.0,1.0,11474
containment_target_in_query,protein,8,class,0.7782708651994186,1.0,0.4126088960301214,1.0,1.0,4003
containment_target_in_query,protein,9,class,0.9561264124293785,1.0,0.20468835636890476,1.0,1.0,1888
containment_target_in_query,protein,10,class,0.9902882205513783,1.0,0.09704357943378558,1.0,1.0,1064
expected_intersecting_hashes,dayhoff,10,class,0.03298745087304183,0.0,0.09561236043655963,0.0,0.02564102564102564,15051
expected_intersecting_hashes,dayhoff,11,class,0.1029139099797513,0.0,0.2039994208599509,0.0,0.125,14832
expected_intersecting_hashes,dayhoff,12,class,0.22887811187556698,0.0,0.34694284812497383,0.0,0.4,13945
expected_intersecting_hashes,dayhoff,13,class,0.38235982405939134,0.0,0.451353097871155,0.0,1.0,10818
expected_intersecting_hashes,dayhoff,14,class,0.5370017376266805,1.0,0.48664696316415534,0.0,1.0,6262
expected_intersecting_hashes,dayhoff,15,class,0.708799251595862,1.0,0.44994237833889866,0.0,1.0,3245
expected_intersecting_hashes,hp,15,class,0.013342512059125967,0.0,0.05744634857673441,0.0,0.0,15176
expected_intersecting_hashes,hp,16,class,0.009758145090553423,0.0,0.048304555044460545,0.0,0.004291845493562232,15176
expected_intersecting_hashes,hp,17,class,0.007558046159269332,0.0,0.042926515385040054,0.0,0.0038809831824062097,15176
expected_intersecting_hashes,hp,18,class,0.006875677376468445,0.0,0.04010103099089432,0.0,0.002911208151382824,15176
expected_intersecting_hashes,hp,19,class,0.009102125610742843,0.0,0.04398517334102192,0.0,0.0048543689320388345,15176
expected_intersecting_hashes,hp,20,class,0.013915952370160915,0.0,0.05092751054108097,0.0,0.008333333333333333,15174
expected_intersecting_hashes,protein,5,class,0.018786466735287038,0.0,0.05416760590746677,0.0,0.017543859649122806,15177
expected_intersecting_hashes,protein,6,class,0.1488190378647146,0.0,0.23454812285533114,0.0,0.23529411764705882,15074
expected_intersecting_hashes,protein,7,class,0.46004379088553315,0.3333333333333333,0.4689608575588484,0.0,1.0,11474
expected_intersecting_hashes,protein,8,class,0.7961343116039594,1.0,0.4001604974793299,1.0,1.0,4003
expected_intersecting_hashes,protein,9,class,0.9578919491525423,1.0,0.20041200124225825,1.0,1.0,1888
expected_intersecting_hashes,protein,10,class,0.9915413533834586,1.0,0.09162416679139536,1.0,1.0,1064
f_weighted_target_in_query,dayhoff,10,class,0.011940712141252492,0.0,0.06259677112091248,0.0,0.0,15051
f_weighted_target_in_query,dayhoff,11,class,0.044172491337485006,0.0,0.15363887104893048,0.0,0.0,14832
f_weighted_target_in_query,dayhoff,12,class,0.13663226107942308,0.0,0.302993971223805,0.0,0.0,13945
f_weighted_target_in_query,dayhoff,13,class,0.32197424486422715,0.0,0.4493300401065273,0.0,1.0,10818
f_weighted_target_in_query,dayhoff,14,class,0.5152599624896295,1.0,0.49463611263242324,0.0,1.0,6262
f_weighted_target_in_query,dayhoff,15,class,0.699550223787512,1.0,0.45693135863179796,0.0,1.0,3245
f_weighted_target_in_query,hp,15,class,0.007417544743651893,0.0,0.05725365668918381,0.0,0.0,15176
f_weighted_target_in_query,hp,16,class,0.004752408034148837,0.0,0.03786575671937287,0.0,0.0,15176
f_weighted_target_in_query,hp,17,class,0.002957568982093499,0.0,0.02227423300971881,0.0,0.0,15176
f_weighted_target_in_query,hp,18,class,0.0020518320781086562,0.0,0.012380345737903954,0.0,0.0,15176
f_weighted_target_in_query,hp,19,class,0.0035507373948829887,0.0,0.01901436236324524,0.0,0.0,15176
f_weighted_target_in_query,hp,20,class,0.006467808466281927,0.0,0.03290001850345999,0.0,0.0,15174
f_weighted_target_in_query,protein,5,class,0.0031878488501798953,0.0,0.016041067080554444,0.0,0.0,15177
f_weighted_target_in_query,protein,6,class,0.0440613212198381,0.0,0.1410431252801992,0.0,0.0,15074
f_weighted_target_in_query,protein,7,class,0.3900844301843386,0.0,0.4722472332749488,0.0,1.0,11474
f_weighted_target_in_query,protein,8,class,0.7796391883576496,1.0,0.4137602174723908,1.0,1.0,4003
f_weighted_target_in_query,protein,9,class,0.9570974576271186,1.0,0.2026910818258182,1.0,1.0,1888
f_weighted_target_in_query,protein,10,class,0.9896616541353384,1.0,0.1011982685306978,1.0,1.0,1064
jaccard,dayhoff,10,class,0.04769573958839114,0.0,0.12022673587507854,0.0,0.047619047619047616,15051
jaccard,dayhoff,11,class,0.12210946278809848,0.0,0.232254838180326,0.0,0.14285714285714285,14832
jaccard,dayhoff,12,class,0.23439856784899143,0.0,0.3564955426149513,0.0,0.4,13945
