k,all_median,all_mean,all_max,family_median,family_mean,family_max,non_family_median,non_family_mean,non_family_max
20,2.0,2.1719834506416764,73,2.0,4.5975408331804,73,2.0,2.160804994792862,70
21,2.0,2.1213677459489717,72,2.0,4.5320691024622715,72,2.0,2.107657794749802,69
22,2.0,2.092381544567257,71,2.0,4.660143198090692,71,2.0,2.0741395505508753,68
23,2.0,2.084389758607293,70,3.0,5.09741550695825,70,2.0,2.056913388039441,67
24,2.0,2.0879803453877446,69,3.0,5.634573304157549,69,2.0,2.043920495476107,66
25,2.0,2.1193999196320936,68,3.0,6.290322580645161,68,2.0,2.046564240480452,65
26,2.0,2.1619079374550303,67,3.0,6.900709219858156,67,2.0,2.04167491407698,64
27,2.0,2.253717440055201,66,4.0,7.798828125,66,2.0,2.0506419655949357,63
28,2.0,2.4010720268006702,65,4.0,8.49618320610687,65,2.0,2.062239196548554,62
29,2.0,2.658832644628099,64,5.0,9.006389776357828,64,2.0,2.1005900533857824,61
30,2.0,3.0691086691086693,63,5.0,9.48605577689243,63,2.0,2.1725577511828558,60
31,2.0,3.635159010600707,62,6.0,10.125628140703517,62,2.0,2.2508038585209005,59
32,2.0,4.375379939209727,61,6.0,10.313253012048193,61,2.0,2.3719512195121952,58
33,2.0,5.200980392156863,60,7.0,10.118881118881118,60,2.0,2.547169811320755,57
34,3.0,6.2772277227722775,59,8.0,10.262008733624453,59,2.0,2.971014492753623,56
35,3.0,7.192090395480226,58,17.0,11.0,58,2.0,3.1627906976744184,55
36,5.0,8.559670781893004,57,16.0,11.463087248322148,57,2.0,3.9574468085106385,54
37,6.5,9.41304347826087,56,15.0,11.359375,56,2.0,4.964285714285714,53
38,14.0,10.0,55,14.0,11.26605504587156,55,2.0,6.166666666666667,52
39,13.0,10.116666666666667,54,13.0,10.708333333333334,54,3.0,7.75,51
40,12.0,10.202020202020202,53,12.0,9.976470588235294,53,4.0,11.571428571428571,50
41,11.0,10.692307692307692,52,11.0,10.393939393939394,52,4.0,12.333333333333334,49
42,10.0,10.571428571428571,51,10.0,10.392156862745098,51,3.0,11.333333333333334,48
43,9.0,11.16,50,9.0,10.333333333333334,50,7.0,15.5,47
44,8.0,11.024390243902438,49,8.0,9.6,49,10.0,19.333333333333332,46
45,7.0,11.470588235294118,48,7.0,10.0,48,9.0,18.333333333333332,45
