k,threshold,n_queries,auc
20,1000,8563,0.02866927170265841
21,1000,8873,0.03232914814447454
22,1000,9109,0.036966761636088745
23,1000,9205,0.04415369701647662
24,1000,9223,0.0479203582998729
25,1000,9164,0.05213762697121492
26,1000,8805,0.054537465184824635
27,1000,7853,0.05847022369370516
28,1000,6147,0.06554145653706415
29,1000,4216,0.09165480708412398
30,1000,2554,0.13987862176977292
31,1000,1520,0.2125548245614035
32,1000,896,0.29929315476190477
33,1000,549,0.39162112932604737
34,1000,334,0.49850299401197606
35,1000,212,0.5872641509433962
36,1000,128,0.69140625
37,1000,86,0.8081395348837208
38,1000,60,0.9249999999999999
39,1000,47,0.9255319148936172
40,1000,36,0.9305555555555556
41,1000,22,0.9545454545454546
42,1000,18,0.9444444444444444
43,1000,12,0.9166666666666666
44,1000,10,0.9
45,1000,6,0.8333333333333334
