SFAM,HP_k35_queries,HP_k35_fam_rate,HP_k36_queries,HP_k36_fam_rate,FoldSeek_queries,FoldSeek_fam_rate,TEA_queries,TEA_fam_rate
0.0,87,0.0,39,0.0,292,0.7294520547945206,523,0.4894837476099426
0.00806452,0,0.0,0,0.0,1,1.0,1,1.0
0.00869565,0,0.0,0,0.0,1,0.0,0,0.0
0.00900901,0,0.0,0,0.0,2,1.0,0,0.0
0.00925926,0,0.0,0,0.0,1,0.0,3,0.6666666666666666
0.010989,0,0.0,0,0.0,5,1.0,2,0.0
0.011236,0,0.0,0,0.0,2,0.5,3,1.0
0.0114943,0,0.0,0,0.0,6,1.0,5,0.8
0.0123457,0,0.0,0,0.0,5,1.0,8,1.0
0.0128205,0,0.0,0,0.0,1,1.0,1,0.0
0.0160643,0,0.0,0,0.0,1,1.0,0,0.0
0.0168539,0,0.0,0,0.0,1,1.0,1,1.0
0.0172414,0,0.0,0,0.0,2,1.0,1,1.0
0.0178571,0,0.0,0,0.0,2,0.5,0,0.0
0.0181818,0,0.0,0,0.0,1,1.0,1,0.0
0.0185185,0,0.0,0,0.0,1,1.0,2,1.0
0.0188679,0,0.0,0,0.0,1,0.0,1,1.0
0.0196078,0,0.0,0,0.0,2,1.0,1,1.0
0.02,0,0.0,0,0.0,1,1.0,0,0.0
0.0204082,0,0.0,0,0.0,1,0.0,0,0.0
0.0212766,0,0.0,0,0.0,4,1.0,2,1.0
0.0217391,0,0.0,0,0.0,2,1.0,0,0.0
0.0222222,0,0.0,0,0.0,3,1.0,0,0.0
0.0227273,0,0.0,0,0.0,2,1.0,2,1.0
0.0229885,0,0.0,0,0.0,3,1.0,3,1.0
0.0234375,0,0.0,0,0.0,1,1.0,0,0.0
0.023622,0,0.0,0,0.0,1,1.0,0,0.0
0.0243902,0,0.0,0,0.0,2,0.5,1,1.0
0.0246914,0,0.0,0,0.0,6,1.0,20,1.0
0.025,0,0.0,0,0.0,1,1.0,2,1.0
0.0267857,0,0.0,0,0.0,1,1.0,0,0.0
0.0272727,0,0.0,0,0.0,1,1.0,1,1.0
0.0277778,0,0.0,0,0.0,2,0.5,1,1.0
0.0280899,0,0.0,0,0.0,2,1.0,1,1.0
0.0285714,0,0.0,0,0.0,3,0.6666666666666666,13,1.0
0.0294118,0,0.0,0,0.0,1,1.0,0,0.0
0.029703,0,0.0,0,0.0,1,0.0,0,0.0
0.0300752,0,0.0,0,0.0,1,1.0,0,0.0
0.0309278,0,0.0,0,0.0,1,1.0,0,0.0
0.03125,0,0.0,0,0.0,1,0.0,1,1.0
0.0322581,0,0.0,0,0.0,3,0.3333333333333333,0,0.0
0.0333333,0,0.0,0,0.0,5,1.0,4,0.5
0.0338983,0,0.0,0,0.0,1,1.0,1,1.0
0.0344828,0,0.0,0,0.0,4,0.75,11,1.0
0.0357143,0,0.0,0,0.0,1,1.0,0,0.0
0.0358566,0,0.0,0,0.0,1,0.0,0,0.0
0.0363636,0,0.0,0,0.0,1,1.0,0,0.0
0.037037,0,0.0,0,0.0,10,1.0,5,0.8
0.0377358,0,0.0,0,0.0,1,1.0,2,0.0
0.0384615,0,0.0,0,0.0,2,1.0,4,0.75
0.04,0,0.0,0,0.0,2,1.0,0,0.0
0.0403226,0,0.0,0,0.0,1,1.0,1,1.0
0.040404,0,0.0,0,0.0,2,1.0,0,0.0
0.0408163,0,0.0,0,0.0,1,1.0,4,1.0
0.042328,0,0.0,0,0.0,1,1.0,0,0.0
0.0425532,0,0.0,0,0.0,2,0.5,4,0.5
0.0434783,0,0.0,0,0.0,6,1.0,9,0.8888888888888888
0.0438247,0,0.0,0,0.0,1,0.0,1,0.0
0.043956,0,0.0,0,0.0,2,0.5,2,1.0
0.0444444,0,0.0,0,0.0,2,1.0,7,1.0
0.0447761,0,0.0,0,0.0,1,1.0,0,0.0
0.0449438,0,0.0,0,0.0,1,1.0,1,0.0
0.0451128,0,0.0,0,0.0,1,1.0,0,0.0
0.0454545,0,0.0,0,0.0,4,0.75,6,1.0
0.045977,0,0.0,0,0.0,1,1.0,10,1.0
0.0465116,0,0.0,0,0.0,2,1.0,6,1.0
0.0469484,0,0.0,0,0.0,1,1.0,0,0.0
0.047619,0,0.0,0,0.0,3,0.6666666666666666,2,1.0
0.0478088,0,0.0,0,0.0,1,1.0,0,0.0
0.0487805,0,0.0,0,0.0,2,1.0,2,1.0
