method,threshold,auc,n_queries
n_hashes only,15,0.8785714285714286,70
TF-IDF + n_hashes,"tfidf>100, n_hashes>15",0.8785714285714286,70
TF-IDF + n_hashes,"tfidf>500, n_hashes>15",0.875,68
TF-IDF + n_hashes,"tfidf>1000, n_hashes>15",0.9067796610169492,59
TF-IDF + n_hashes,"tfidf>2000, n_hashes>15",0.8953488372093024,43
TF-IDF + Containment,"tfidf>1000, containment>0.1",0.7258064516129032,31
n_hashes only,20,0.7954545454545454,22
TF-IDF + n_hashes,"tfidf>100, n_hashes>20",0.7954545454545454,22
TF-IDF + n_hashes,"tfidf>500, n_hashes>20",0.775,20
Containment only,0.8,0.7105263157894737,19
Containment only,0.9,0.7105263157894737,19
Max Containment only,0.8,0.7105263157894737,19
Max Containment only,0.9,0.7105263157894737,19
Jaccard only,0.1,0.6388888888888888,18
TF-IDF + Jaccard,"tfidf>100, jaccard>0.1",0.6764705882352942,17
TF-IDF + n_hashes,"tfidf>1000, n_hashes>20",0.84375,16
TF-IDF + n_hashes,"tfidf>2000, n_hashes>20",0.7916666666666667,12
TF-IDF + Jaccard,"tfidf>500, jaccard>0.1",0.6818181818181819,11
Jaccard only,0.15,0.75,10
TF-IDF + Jaccard,"tfidf>100, jaccard>0.15",0.75,10
TF-IDF + Jaccard,"tfidf>500, jaccard>0.15",0.6875,8
n_hashes only,30,0.75,4
n_hashes only,50,0.75,4
TF-IDF + Jaccard,"tfidf>1000, jaccard>0.1",0.75,4
TF-IDF + Jaccard,"tfidf>1000, jaccard>0.15",0.6666666666666666,3
TF-IDF + Jaccard,"tfidf>2000, jaccard>0.05",0.6666666666666666,3
TF-IDF + n_hashes,"tfidf>5000, n_hashes>15",0.6666666666666666,3
