arm,alphabet,k,mask_on,bits_per_seed,feature_type,species,n_instances_report_half,n_landed_report_half,frac_landed_report_half,median_iou_given_call_report_half,scan_frac_landed_report_half,frac_landed_choose_half
kmerseek.mmseqs12_k5_lcFalse,mmseqs12,5,false,17.92,BINDING,arabidopsis,150,9,0.06,0.6363636363636364,0.0,0.03571428571428571
kmerseek.mmseqs12_k5_lcTrue,mmseqs12,5,true,17.92,BINDING,arabidopsis,150,9,0.06,0.6363636363636364,0.0,0.03571428571428571
kmerseek.hp_lehninger2_k18_lcFalse,hp_lehninger2,18,false,18.0,BINDING,arabidopsis,150,0,0.0,0.18219461697722567,0.0,0.023809523809523808
kmerseek.hp_lehninger2_k18_lcTrue,hp_lehninger2,18,true,18.0,BINDING,arabidopsis,150,0,0.0,0.18219461697722567,0.0,0.023809523809523808
kmerseek.hp_lehninger_c_nonpolar2_k18_lcFalse,hp_lehninger_c_nonpolar2,18,false,18.0,BINDING,arabidopsis,150,0,0.0,0.2128623188405797,0.0,0.023809523809523808
kmerseek.hp_lehninger_c_nonpolar2_k18_lcTrue,hp_lehninger_c_nonpolar2,18,true,18.0,BINDING,arabidopsis,150,0,0.0,0.2128623188405797,0.0,0.023809523809523808
kmerseek.hp_pbotc_1st_ed2_k18_lcFalse,hp_pbotc_1st_ed2,18,false,18.0,BINDING,arabidopsis,150,0,0.0,0.19047619047619047,0.0,0.023809523809523808
kmerseek.hp_pbotc_1st_ed2_k18_lcTrue,hp_pbotc_1st_ed2,18,true,18.0,BINDING,arabidopsis,150,0,0.0,0.19047619047619047,0.0,0.023809523809523808
kmerseek.wwmj5_k8_lcFalse,wwmj5,8,false,18.58,BINDING,arabidopsis,150,1,0.006666666666666667,0.5,0.0,0.023809523809523808
kmerseek.wwmj5_k8_lcTrue,wwmj5,8,true,18.58,BINDING,arabidopsis,150,1,0.006666666666666667,0.5,0.0,0.023809523809523808
kmerseek.hp_kyte_doolittle2_k19_lcFalse,hp_kyte_doolittle2,19,false,19.0,BINDING,arabidopsis,150,1,0.006666666666666667,0.16666666666666666,0.0,0.011904761904761904
kmerseek.hp_kyte_doolittle2_k19_lcTrue,hp_kyte_doolittle2,19,true,19.0,BINDING,arabidopsis,150,1,0.006666666666666667,0.16666666666666666,0.0,0.011904761904761904
kmerseek.hp_lehninger2_k19_lcFalse,hp_lehninger2,19,false,19.0,BINDING,arabidopsis,150,0,0.0,0.18219461697722567,0.0,0.023809523809523808
kmerseek.hp_lehninger2_k19_lcTrue,hp_lehninger2,19,true,19.0,BINDING,arabidopsis,150,0,0.0,0.18219461697722567,0.0,0.023809523809523808
kmerseek.hp_lehninger_c_nonpolar2_k19_lcFalse,hp_lehninger_c_nonpolar2,19,false,19.0,BINDING,arabidopsis,150,0,0.0,0.19444444444444445,0.0,0.023809523809523808
kmerseek.hp_lehninger_c_nonpolar2_k19_lcTrue,hp_lehninger_c_nonpolar2,19,true,19.0,BINDING,arabidopsis,150,0,0.0,0.19444444444444445,0.0,0.023809523809523808
kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,hp_pbotc_1st_ed2,19,false,19.0,BINDING,arabidopsis,150,0,0.0,0.23809523809523808,0.0,0.023809523809523808
kmerseek.hp_pbotc_1st_ed2_k19_lcTrue,hp_pbotc_1st_ed2,19,true,19.0,BINDING,arabidopsis,150,0,0.0,0.23809523809523808,0.0,0.023809523809523808
