alphabet	pr_match_unrelated	mismatch_penalty_C	expected_score_chance_position
gbmr7	0.393	0.32	0.19876
hp_lehninger_hpc3	0.479	0.87	0.02573
gbmr4	0.401	0.67	-0.00033
polarity4	0.334	0.54	-0.02564
sdm12	0.141	0.24	-0.06516
wass14	0.089	0.17	-0.06587
uniprot18	0.072	0.15	-0.0672
hsdm17	0.092	0.18	-0.07144
protein20	0.059	0.14	-0.07274
dayhoff6	0.234	0.41	-0.08006
mmseqs12	0.114	0.22	-0.08092
wwmj5	0.235	0.47	-0.12455
hp_kyte_doolittle2	0.547	1.57	-0.16421
hp_thomas_dill_no_c2	0.535	1.62	-0.2183
hp_thomas_dill2	0.524	1.63	-0.25188
hp_lehninger2	0.501	1.51	-0.25249
hp_lehninger_c_nonpolar2	0.501	1.52	-0.25748
hp_pbotc_1st_ed2	0.505	1.59	-0.28205
funcgroups8	0.184	2.0	-1.448
