dataset	identity_bin	alphabet	k	fraction_of_pairs_reachable
Pfam	<20%	dayhoff6	5	0.611
Pfam	<20%	dayhoff6	7	0.207
Pfam	<20%	dayhoff6	10	0.032
Pfam	<20%	dayhoff6	15	0.001
Pfam	<20%	dayhoff6	19	0.0
Pfam	<20%	dayhoff6	23	0.0
Pfam	<20%	dayhoff6	26	0.0
Pfam	<20%	dayhoff6	30	0.0
Pfam	<20%	gbmr4	5	0.974
Pfam	<20%	gbmr4	7	0.784
Pfam	<20%	gbmr4	10	0.345
Pfam	<20%	gbmr4	15	0.052
Pfam	<20%	gbmr4	19	0.01
Pfam	<20%	gbmr4	23	0.002
Pfam	<20%	gbmr4	26	0.001
Pfam	<20%	gbmr4	30	0.0
Pfam	<20%	hp_pbotc_1st_ed2	5	0.992
Pfam	<20%	hp_pbotc_1st_ed2	7	0.906
Pfam	<20%	hp_pbotc_1st_ed2	10	0.538
Pfam	<20%	hp_pbotc_1st_ed2	15	0.114
Pfam	<20%	hp_pbotc_1st_ed2	19	0.027
Pfam	<20%	hp_pbotc_1st_ed2	23	0.006
Pfam	<20%	hp_pbotc_1st_ed2	26	0.002
Pfam	<20%	hp_pbotc_1st_ed2	30	0.001
Pfam	<20%	hp_thomas_dill2	5	0.995
Pfam	<20%	hp_thomas_dill2	7	0.921
Pfam	<20%	hp_thomas_dill2	10	0.584
Pfam	<20%	hp_thomas_dill2	15	0.137
Pfam	<20%	hp_thomas_dill2	19	0.035
Pfam	<20%	hp_thomas_dill2	23	0.008
Pfam	<20%	hp_thomas_dill2	26	0.003
Pfam	<20%	hp_thomas_dill2	30	0.001
Pfam	<20%	protein20	5	0.052
Pfam	<20%	protein20	7	0.004
Pfam	<20%	protein20	10	0.0
Pfam	<20%	protein20	15	0.0
Pfam	<20%	protein20	19	0.0
Pfam	<20%	protein20	23	0.0
Pfam	<20%	protein20	26	0.0
Pfam	<20%	protein20	30	0.0
Pfam	20-30%	dayhoff6	5	0.861
Pfam	20-30%	dayhoff6	7	0.499
Pfam	20-30%	dayhoff6	10	0.145
