species,mya,window,alphabet,n_pairs,n_cols,agree,expected,kappa_pooled,n_pairs_ge_50_cols,kappa_per_pair_mean,classes,C_pooled,C_per_pair_mean
mouse,100,flanks,dayhoff6,1347,24813,0.9248,0.2687,0.8972,,,6,1.3363,
mouse,100,flanks,gbmr4,1347,24813,0.9291,0.412,0.8794,,,4,1.6377,
mouse,100,flanks,gbmr7,1347,24813,0.8971,0.3197,0.8487,,,7,1.0452,
mouse,100,flanks,hp_kyte_doolittle2,1347,24813,0.9507,0.599,0.877,,,2,3.3278,
mouse,100,flanks,hp_lehninger2,1347,24813,0.9377,0.5036,0.8744,,,2,3.3021,
mouse,100,flanks,hp_lehninger_c_nonpolar2,1347,24813,0.9377,0.5016,0.875,,,2,3.3079,
mouse,100,flanks,hp_lehninger_hpc3,1347,24813,0.9357,0.4886,0.8742,,,3,2.0506,
mouse,100,flanks,hp_pbotc_1st_ed2,1347,24813,0.9458,0.519,0.8874,,,2,3.438,
mouse,100,flanks,hp_thomas_dill2,1347,24813,0.9502,0.579,0.8817,,,2,3.3764,
mouse,100,flanks,hp_thomas_dill_no_c2,1347,24813,0.9514,0.5907,0.8814,,,2,3.3729,
mouse,100,flanks,polarity4,1347,24813,0.9186,0.3147,0.8812,,,4,1.6473,
mouse,100,flanks,protein20,1347,24813,0.8531,0.0665,0.8427,,,20,0.6526,
mouse,100,flanks,sdm12,1347,24813,0.8786,0.1407,0.8587,,,12,0.834,
mouse,100,flanks,uniprot18,1347,24813,0.8539,0.0855,0.8403,,,18,0.6726,
mouse,100,flanks,wwmj5,1347,24813,0.9042,0.2215,0.877,,,5,1.3916,
mouse,100,motif,dayhoff6,1347,9651,0.9652,0.233,0.9546,,,6,1.7639,
mouse,100,motif,gbmr4,1347,9651,0.9696,0.399,0.9495,,,4,2.2152,
mouse,100,motif,gbmr7,1347,9651,0.9539,0.3688,0.927,,,7,1.3909,
mouse,100,motif,hp_kyte_doolittle2,1347,9651,0.9787,0.5761,0.9496,,,2,4.4765,
mouse,100,motif,hp_lehninger2,1347,9651,0.9745,0.5003,0.949,,,2,4.4593,
mouse,100,motif,hp_lehninger_c_nonpolar2,1347,9651,0.9747,0.5,0.9494,,,2,4.4709,
