group,window,n_instances,pr_same_class,ci_low,ci_high,identity,pr_same_class_chance
mouse (100 Mya),motif,1347,0.9767159137414207,0.9722186506435342,0.9804469123683166,0.9254295760451065,0.5110947665847649
mouse (100 Mya),flanks,1347,0.945620874355941,0.9416060722320232,0.94957136849074,0.8516271546555061,0.5110947665847649
mouse (100 Mya),rest,1347,0.9551197858732818,0.953218243991373,0.9570410200120509,0.8727482707459956,0.5110947665847649
"chicken, zebrafish (300-430 Mya)",motif,1125,0.9246262608475252,0.9166220306909338,0.9320238117801274,0.7778397731845511,0.5114771532130871
"chicken, zebrafish (300-430 Mya)",flanks,1125,0.8610479884355926,0.85383266799732,0.8674654674866988,0.6161067365682078,0.5114771532130871
"chicken, zebrafish (300-430 Mya)",rest,1125,0.8838034809825343,0.8799423658053553,0.8874101104265634,0.6700333448209476,0.5114771532130871
"ciona, fly, worm (550-650 Mya)",motif,566,0.7989628532237657,0.7829876054846553,0.814363499784902,0.4514164016000144,0.5106380290609982
"ciona, fly, worm (550-650 Mya)",flanks,566,0.7566719235140728,0.7451247784689392,0.7677204707722242,0.3638363017635772,0.5106380290609982
"ciona, fly, worm (550-650 Mya)",rest,566,0.8117308924734459,0.8069846432437603,0.8162182830628602,0.4557935728688967,0.5106380290609982
"yeast, arabidopsis (900-1500 Mya)",motif,209,0.8105157898116754,0.7845882056932907,0.836402243323095,0.41346075123120923,0.512133429413241
"yeast, arabidopsis (900-1500 Mya)",flanks,209,0.7543583402824808,0.7352182315130847,0.7735418093866833,0.31943603992171105,0.512133429413241
"yeast, arabidopsis (900-1500 Mya)",rest,209,0.7865047583395256,0.7788811610672655,0.7950015510128811,0.3871860862832006,0.512133429413241
