alphabet,pipeline_kmin,k_main,k_small,proteins_per_seed_k_main,proteins_per_seed_k_small,k_small_fits_memory,proteins_per_seed_k_small_fits_memory,load_cap
protein20,5,5,4,13.5,158.2,,,452.4
uniprot18,5,5,4,33.2,337.2,,,452.4
hsdm17,5,5,4,91.7,700.0,,,452.4
wass14,5,5,4,72.4,662.8,,,452.4
mmseqs12,5,6,5,36.8,245.6,5,245.6,452.4
sdm12,6,7,5,19.3,552.9,6,102.7,452.4
dayhoff6,8,9,7,43.7,401.5,7,401.5,452.4
wwmj5,8,9,7,35.2,461.5,8,126.9,452.4
gbmr7,9,13,9,84.4,758.0,10,452.4,452.4
gbmr4,12,14,11,67.3,546.7,12,274.5,452.4
hp_lehninger_hpc3,16,17,13,52.3,764.5,14,392.3,452.4
hp_lehninger2,18,17,14,96.2,676.1,15,353.5,452.4
hp_lehninger_c_nonpolar2,18,18,14,56.0,701.1,15,371.0,452.4
hp_pbotc_1st_ed2,18,18,14,56.5,723.4,15,382.7,452.4
hp_thomas_dill2,19,19,15,72.5,626.3,16,362.2,452.4
hp_thomas_dill_no_c2,19,20,15,65.7,793.1,17,288.2,452.4
hp_kyte_doolittle2,19,20,15,81.1,944.1,17,351.6,452.4
polarity4,10,12,9,53.0,520.4,10,235.2,452.4
funcgroups8,7,7,6,99.9,392.0,6,392.0,452.4
