target,label_rule,tool_label,n_passing,median_iou_passing,n_regions,n_landed,median_iou_landed,frac_landed,frac_passing
disprot,any_term,Foldseek,5,0.92,674,307,0.9148936170212766,0.45548961424332346,0.00741839762611276
disprot,any_term,MMseqs2,2,0.6222222222222222,674,33,0.5641025641025641,0.04896142433234421,0.002967359050445104
disprot,any_term,MMseqs2 iterative,1,0.7,674,59,0.48717948717948717,0.08753709198813056,0.001483679525222552
disprot,any_term,Reseek,2,0.6811342592592593,674,333,0.9516129032258065,0.4940652818991098,0.002967359050445104
disprot,any_term,jackhmmer,19,0.75,674,448,0.75,0.6646884272997032,0.028189910979228485
disprot,any_term,"kmerseek, arm picked per term",9,0.8409090909090909,674,190,0.6470081260773208,0.2818991097922849,0.013353115727002967
disprot,any_term,phmmer,17,0.7142857142857143,674,464,0.75,0.6884272997032641,0.025222551928783383
disprot,same_term,Foldseek,4,0.9473417721518987,674,160,0.858678955453149,0.23738872403560832,0.005934718100890208
disprot,same_term,MMseqs2,0,,674,9,0.6451612903225806,0.013353115727002967,0.0
disprot,same_term,MMseqs2 iterative,0,,674,17,0.49514563106796117,0.025222551928783383,0.0
disprot,same_term,Reseek,3,0.7894736842105263,674,194,0.9255797853928696,0.2878338278931751,0.004451038575667656
disprot,same_term,jackhmmer,4,0.695855614973262,674,217,0.6265060240963856,0.3219584569732938,0.005934718100890208
disprot,same_term,"kmerseek, arm picked per term",4,0.8370098039215685,674,56,0.6269970489467793,0.0830860534124629,0.005934718100890208
disprot,same_term,phmmer,8,0.7459016393442623,674,232,0.6432517758484609,0.34421364985163205,0.011869436201780416
yeast,any_term,Foldseek,0,,674,117,0.7637795275590551,0.17359050445103857,0.0
yeast,any_term,MMseqs2,0,,674,2,0.42685370741482964,0.002967359050445104,0.0
yeast,any_term,MMseqs2 iterative,0,,674,4,0.5091864260967859,0.005934718100890208,0.0
yeast,any_term,Reseek,0,,674,125,0.9596412556053812,0.18545994065281898,0.0
yeast,any_term,jackhmmer,3,0.7333333333333333,674,160,0.49793388429752067,0.23738872403560832,0.004451038575667656
yeast,any_term,"kmerseek, arm picked per term",1,0.975609756097561,674,56,0.4786850303328415,0.0830860534124629,0.001483679525222552
yeast,any_term,phmmer,4,0.7333333333333333,674,164,0.5127872127872128,0.2433234421364985,0.005934718100890208
yeast,same_term,Foldseek,0,,674,37,0.7295918367346939,0.05489614243323442,0.0
yeast,same_term,MMseqs2,0,,674,1,0.42685370741482964,0.001483679525222552,0.0
yeast,same_term,MMseqs2 iterative,0,,674,2,0.3860583062964531,0.002967359050445104,0.0
yeast,same_term,Reseek,0,,674,42,0.920600831496694,0.06231454005934718,0.0
yeast,same_term,jackhmmer,0,,674,39,0.44537815126050423,0.057863501483679525,0.0
yeast,same_term,"kmerseek, arm picked per term",1,0.975609756097561,674,13,0.3641025641025641,0.019287833827893175,0.001483679525222552
yeast,same_term,phmmer,1,0.9375,674,40,0.4548319327731093,0.05934718100890208,0.001483679525222552
