tool	variant	bin	frac	n	arm
kmerseek	hp_thomas_dill2_k26_lcTrue	10.0	0.0	74	hp_thomas_dill2_k26_lcTrue
kmerseek	hp_pbotc_1st_ed2_k24_lcTrue	90.0	0.48753280839895013	1524	hp_pbotc_1st_ed2_k24_lcTrue
kmerseek	protein20_k10_lcTrue	10.0	0.0	74	protein20_k10_lcTrue
prostt5	3di_from_seq	90.0	0.37860892388451445	1524	prostt5
kmerseek	hp_pbotc_1st_ed2_k24_lcTrue	30.0	0.0007462686567164179	1340	hp_pbotc_1st_ed2_k24_lcTrue
foldseek	3di_aa	30.0	0.4537313432835821	1340	foldseek
mmseqs2_iterative	s7	100.0	0.5018050541516246	554	mmseqs2_iterative
hhblits	single_seq	70.0	0.6384839650145773	2058	hhblits
folddisco	motif	30.0	0.6723880597014925	1340	folddisco
kmerseek	protein20_k10_lcTrue	20.0	0.0	739	protein20_k10_lcTrue
mmseqs2_seqseq	s7	20.0	0.4709066305818674	739	mmseqs2_seqseq
hmmer3_phmmer	default	20.0	0.5345060893098782	739	hmmer3_phmmer
prostt5	3di_from_seq	40.0	0.4400871459694989	1836	prostt5
mmseqs2_seqseq	s7	40.0	0.5005446623093682	1836	mmseqs2_seqseq
hmmer3_jackhmmer	n3	90.0	0.6010498687664042	1524	hmmer3_jackhmmer
kmerseek	dayhoff6_k12_lcTrue	40.0	0.0027233115468409588	1836	dayhoff6_k12_lcTrue
hmmer3_phmmer	default	30.0	0.5656716417910448	1340	hmmer3_phmmer
reseek	verysensitive	20.0	0.40324763193504737	739	reseek
mmseqs2_seqseq	s7	30.0	0.47388059701492535	1340	mmseqs2_seqseq
kmerseek	hp_pbotc_1st_ed2_k19_lcTrue	100.0	0.5685920577617328	554	hp_pbotc_1st_ed2_k19_lcTrue
prostt5	3di_from_seq	30.0	0.4417910447761194	1340	prostt5
kmerseek	hp_pbotc_1st_ed2_k21_lcTrue	10.0	0.0	74	hp_pbotc_1st_ed2_k21_lcTrue
kmerseek	hp_thomas_dill2_k26_lcTrue	70.0	0.12001943634596696	2058	hp_thomas_dill2_k26_lcTrue
foldseek	3di_aa	100.0	0.2509025270758123	554	foldseek
hhblits	single_seq	20.0	0.6129905277401895	739	hhblits
kmerseek	hp_pbotc_1st_ed2_k21_lcTrue	50.0	0.019427954668105773	1853	hp_pbotc_1st_ed2_k21_lcTrue
kmerseek	hp_pbotc_1st_ed2_k21_lcTrue	60.0	0.06068890103881903	1829	hp_pbotc_1st_ed2_k21_lcTrue
folddisco	motif	70.0	0.8202137998056366	2058	folddisco
kmerseek	hp_pbotc_1st_ed2_k19_lcTrue	50.0	0.025364274150026983	1853	hp_pbotc_1st_ed2_k19_lcTrue
kmerseek	hp_pbotc_1st_ed2_k24_lcTrue	40.0	0.005991285403050109	1836	hp_pbotc_1st_ed2_k24_lcTrue
folddisco	motif	100.0	0.9169675090252708	554	folddisco
hmmer3_jackhmmer	n3	50.0	0.5720453318942256	1853	hmmer3_jackhmmer
kmerseek	hp_pbotc_1st_ed2_k21_lcTrue	30.0	0.0007462686567164179	1340	hp_pbotc_1st_ed2_k21_lcTrue
hmmer3_jackhmmer	n3	60.0	0.5297977036632039	1829	hmmer3_jackhmmer
reseek	verysensitive	40.0	0.36492374727668847	1836	reseek
kmerseek	hp_thomas_dill2_k26_lcTrue	50.0	0.015110631408526714	1853	hp_thomas_dill2_k26_lcTrue
mmseqs2_seqseq	s7	60.0	0.4581738655002734	1829	mmseqs2_seqseq
kmerseek	hp_pbotc_1st_ed2_k24_lcTrue	60.0	0.03827227993439038	1829	hp_pbotc_1st_ed2_k24_lcTrue
mmseqs2_seqseq	s7	70.0	0.40573372206025266	2058	mmseqs2_seqseq
prostt5	3di_from_seq	60.0	0.33624931656642976	1829	prostt5
kmerseek	hp_pbotc_1st_ed2_k19_lcTrue	80.0	0.3065015479876161	1615	hp_pbotc_1st_ed2_k19_lcTrue
kmerseek	protein20_k10_lcTrue	40.0	0.0016339869281045752	1836	protein20_k10_lcTrue
reseek	verysensitive	80.0	0.3306501547987616	1615	reseek
kmerseek	hp_pbotc_1st_ed2_k24_lcTrue	10.0	0.0	74	hp_pbotc_1st_ed2_k24_lcTrue
reseek	verysensitive	10.0	0.5675675675675675	74	reseek
prostt5	3di_from_seq	20.0	0.4817320703653586	739	prostt5
kmerseek	funcgroups8_k12_lcTrue	100.0	0.43862815884476536	554	funcgroups8_k12_lcTrue
hmmer3_jackhmmer	n3	10.0	0.3783783783783784	74	hmmer3_jackhmmer
kmerseek	hp_pbotc_1st_ed2_k21_lcTrue	100.0	0.5361010830324909	554	hp_pbotc_1st_ed2_k21_lcTrue
prostt5	3di_from_seq	100.0	0.2292418772563177	554	prostt5
kmerseek	protein20_k10_lcTrue	50.0	0.0	1853	protein20_k10_lcTrue
mmseqs2_seqseq	s7	100.0	0.4314079422382672	554	mmseqs2_seqseq
mmseqs2_iterative	s7	20.0	0.4668470906630582	739	mmseqs2_iterative
foldseek	3di_aa	50.0	0.4284943335132218	1853	foldseek
hmmer3_jackhmmer	n3	80.0	0.5944272445820433	1615	hmmer3_jackhmmer
kmerseek	hp_pbotc_1st_ed2_k19_lcTrue	60.0	0.0754510661563696	1829	hp_pbotc_1st_ed2_k19_lcTrue
reseek	verysensitive	60.0	0.28376161837069436	1829	reseek
kmerseek	funcgroups8_k12_lcTrue	20.0	0.0	739	funcgroups8_k12_lcTrue
foldseek	3di_aa	10.0	0.6756756756756757	74	foldseek
kmerseek	funcgroups8_k12_lcTrue	30.0	0.0	1340	funcgroups8_k12_lcTrue
kmerseek	hp_thomas_dill2_k26_lcTrue	30.0	0.004477611940298508	1340	hp_thomas_dill2_k26_lcTrue
foldseek	3di_aa	20.0	0.4912043301759134	739	foldseek
kmerseek	funcgroups8_k12_lcTrue	70.0	0.0058309037900874635	2058	funcgroups8_k12_lcTrue
kmerseek	dayhoff6_k12_lcTrue	30.0	0.0	1340	dayhoff6_k12_lcTrue
kmerseek	hp_pbotc_1st_ed2_k21_lcTrue	70.0	0.1793002915451895	2058	hp_pbotc_1st_ed2_k21_lcTrue
foldseek	3di_aa	80.0	0.40495356037151703	1615	foldseek
hhblits	single_seq	60.0	0.6577364680153089	1829	hhblits
kmerseek	hp_thomas_dill2_k26_lcTrue	20.0	0.0	739	hp_thomas_dill2_k26_lcTrue
mmseqs2_iterative	s7	60.0	0.49589939857845816	1829	mmseqs2_iterative
kmerseek	hp_pbotc_1st_ed2_k24_lcTrue	80.0	0.25882352941176473	1615	hp_pbotc_1st_ed2_k24_lcTrue
folddisco	motif	10.0	0.5945945945945946	74	folddisco
hhblits	single_seq	50.0	0.6859147328656233	1853	hhblits
prostt5	3di_from_seq	10.0	0.6486486486486487	74	prostt5
kmerseek	dayhoff6_k12_lcTrue	100.0	0.4693140794223827	554	dayhoff6_k12_lcTrue
foldseek	3di_aa	70.0	0.32896015549076774	2058	foldseek
hhblits	single_seq	100.0	0.7003610108303249	554	hhblits
hmmer3_phmmer	default	10.0	0.2702702702702703	74	hmmer3_phmmer
kmerseek	funcgroups8_k12_lcTrue	50.0	0.0	1853	funcgroups8_k12_lcTrue
kmerseek	dayhoff6_k12_lcTrue	20.0	0.0	739	dayhoff6_k12_lcTrue
hmmer3_phmmer	default	40.0	0.599128540305011	1836	hmmer3_phmmer
kmerseek	hp_pbotc_1st_ed2_k21_lcTrue	20.0	0.0	739	hp_pbotc_1st_ed2_k21_lcTrue
folddisco	motif	90.0	0.9002624671916011	1524	folddisco
