sfam_string,hp_queries,scope_domains,scope_families,avg_seq_len,description
c.2.1,12,,,,
c.37.1,12,333,27,238.81381381381382,"5' polynucleotide kinase-3' phosphatase, C-terminal domain {Mouse (Mus musculus) [TaxId: 10090]}"
d.144.1,12,130,8,301.03846153846155,"Actin-fragmin kinase, catalytic domain {Slime mold (Physarum polycephalum) [TaxId: 5791]}"
c.69.1,7,152,42,298.4342105263158,Acetylcholinesterase {Fruit fly (Drosophila melanogaster) [TaxId: 7227]}
c.67.1,6,143,10,396.1468531468532,AAT homologue TM1698 {Thermotoga maritima [TaxId: 2336]}
a.104.1,5,73,2,417.7808219178082,Cyp119 {Sulfolobus solfataricus [TaxId: 2287]}
c.82.1,4,35,3,477.57142857142856,"Aldehyde reductase (dehydrogenase), ALDH {Human (Homo sapiens), mitochondrial [TaxId: 9606]}"
e.1.1,4,22,2,382.09090909090907,Alaserpin (serpin 1) {Tobacco hornworm (Manduca sexta) [TaxId: 7130]}
c.26.1,4,47,6,260.3829787234043,Arginyl-tRNA synthetase (ArgRS) {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
e.23.1,4,26,2,513.7692307692307,4-chlorobenzoyl CoA ligase {Alcaligenes sp. AL3007 [TaxId: 206162]}
c.87.1,4,41,13,407.4390243902439,beta-Glucosyltransferase (DNA-modifying) {Bacteriophage T4 [TaxId: 10665]}
c.92.2,4,38,5,302.60526315789474,Periplasmic ferric siderophore binding protein FhuD {Escherichia coli [TaxId: 562]}
f.13.1,4,18,3,256.22222222222223,Sensory rhodopsin {Nostoc sp. PCC 7120 [TaxId: 103690]}
c.1.8,4,128,14,362.1015625,4-alpha-glucanotransferase {Thermotoga maritima [TaxId: 2336]}
c.1.4,3,27,2,356.51851851851853,(S)-3-O-geranylgeranylglyceryl phosphate synthase {Archaeoglobus fulgidus [TaxId: 2234]}
c.66.1,3,157,58,266.4076433121019,"Catechol O-methyltransferase, COMT {Norway rat (Rattus norvegicus) [TaxId: 10116]}"
c.94.1,3,187,4,304.4812834224599,"ABC transporter, periplasmic substrate-binding protein VCA0807 {Vibrio cholerae [TaxId: 666]}"
c.119.1,3,16,3,292.375,Hypothetical protein apc36103 {Bacillus stearothermophilus [TaxId: 1422]}
c.77.1,2,16,5,375.5625,"Isocitrate dehydrogenase, ICDH {Bacillus subtilis [TaxId: 1423]}"
d.32.1,2,45,10,145.44444444444446,Glyoxalase I (lactoylglutathione lyase) {Escherichia coli [TaxId: 562]}
d.3.1,2,54,23,263.77777777777777,(Pro)cathepsin X {Human (Homo sapiens) [TaxId: 9606]}
c.1.9,2,59,18,329.0508474576271,Adenosine deaminase (ADA) {Human (Homo sapiens) [TaxId: 9606]}
b.82.2,2,42,16,287.95238095238096,1-aminocyclopropane-1-carboxylate oxidase 1 {Petunia hybrida [TaxId: 4102]}
c.71.1,2,20,3,184.5,"Bifunctional enzyme dihydrofolate reductase-thymidylate synthase, DFR domain {Cryptosporidium hominis [TaxId: 237895]}"
f.26.1,2,4,1,318.0,automated matches {Blastochloris viridis [TaxId: 1079]}
f.4.3,2,18,5,531.8333333333334,"Porin {Escherichia coli, different sequences [TaxId: 562]}"
a.211.1,2,34,9,268.02941176470586,5'-nucleotidase YfbR {Escherichia coli [TaxId: 562]}
d.20.1,2,28,5,148.28571428571428,"Ubiquitin conjugating enzyme, UBC {Baker's yeast (Saccharomyces cerevisiae), mms2 [TaxId: 4932]}"
d.258.1,2,3,2,377.6666666666667,"Chorismate synthase, AroC {Helicobacter pylori [TaxId: 210]}"
e.3.1,2,49,4,308.0,6-aminohexanoate-dimer hydrolase NylC {Flavobacterium sp. [TaxId: 239]}
c.23.5,2,37,9,168.1081081081081,Flavodoxin {Clostridium beijerinckii [TaxId: 1520]}
b.1.1,2,239,5,104.18828451882845,Alphaherpesvirus glycoprotein E {Human herpesvirus 1 [TaxId: 10298]}
b.84.3,2,3,2,198.66666666666666,"Glucose permease IIa domain, IIa-glc {Bacillus subtilis [TaxId: 1423]}"
c.95.1,2,57,3,198.71929824561403,"Actinorhodin polyketide putative beta-ketoacyl synthase 1, KasA, C-terminal domain {Streptomyces coelicolor [TaxId: 1902]}"
d.58.21,2,2,1,145.5,automated matches {Pyrococcus horikoshii OT3 [TaxId: 70601]}
c.1.10,2,65,9,287.32307692307694,Deoxyribose-phosphate aldolase DeoC {Aeropyrum pernix [TaxId: 56636]}
c.79.1,2,20,2,353.15,"1-aminocyclopropane-1-carboxylate deaminase {Pseudomonas sp., strain ACP [TaxId: 306]}"
f.4.7,2,6,3,410.6666666666667,OpdP porin (OccD3) {Pseudomonas aeruginosa [TaxId: 287]}
d.58.31,2,5,3,235.6,Methyl-coenzyme M reductase gamma chain {Methanosarcina barkeri [TaxId: 2208]}
c.72.1,2,51,6,310.2549019607843,"2-keto-3-deoxygluconate kinase {Thermotoga maritima, TM0067 [TaxId: 2336]}"
a.128.1,2,30,6,312.56666666666666,Farnesyl diphosphate synthase (geranyltranstransferase) {Staphylococcus aureus [TaxId: 1280]}
c.7.1,2,12,6,689.8333333333334,Glycerol dehydratase DhaB1 {Clostridium butyricum [TaxId: 1492]}
d.67.3,2,4,1,156.0,"Ribosome recycling factor, RRF {Escherichia coli [TaxId: 562]}"
a.123.1,2,20,2,245.2,Bile acid receptor FXR {Human (Homo sapiens) [TaxId: 9606]}
c.129.1,2,11,6,202.0,Hypothetical protein At2g37210/T2N18.3 {Thale cress (Arabidopsis thaliana) [TaxId: 3702]}
d.219.1,2,7,2,247.14285714285714,putative serine/threonine phosphatase pstp/ppp {Mycobacterium tuberculosis [TaxId: 1773]}
b.47.1,2,54,5,223.33333333333334,"alpha-Lytic protease {Lysobacter enzymogenes, 495 [TaxId: 69]}"
d.122.1,2,18,5,182.55555555555554,automated matches {Human (Homo sapiens) [TaxId: 9606]}
a.47.3,1,1,1,179.0,Cag-Z {Helicobacter pylori [TaxId: 210]}
a.4.5,1,252,81,102.39682539682539,"Biotin repressor, N-terminal domain {Escherichia coli [TaxId: 562]}"
a.25.1,1,55,8,204.6727272727273,"(Apo)ferritin {Cabbage looper (Trichoplusia ni), H chain [TaxId: 7111]}"
a.118.12,1,1,1,157.0,"Ran-GTPase activating protein 1 (RanGAP1), C-terminal domain {Human (Homo sapiens) [TaxId: 9606]}"
a.298.1,1,3,1,431.3333333333333,BurrH {Burkholderia rhizoxinica [TaxId: 412963]}
a.127.1,1,13,3,493.46153846153845,Adenylosuccinate lyase {Pyrobaculum aerophilum [TaxId: 13773]}
c.1.11,1,43,3,248.74418604651163,Enolase {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}
a.118.1,1,59,28,399.8813559322034,beta-Catenin {Mouse (Mus musculus) [TaxId: 10090]}
c.89.1,1,2,1,436.5,automated matches {Borrelia burgdorferi [TaxId: 224326]}
c.44.3,1,6,2,166.66666666666666,Argonaute homologue Aq_1447 {Aquifex aeolicus [TaxId: 63363]}
c.1.12,1,18,7,322.3333333333333,"Pyruvate phosphate dikinase, C-terminal domain {Clostridium symbiosum [TaxId: 1512]}"
c.146.1,1,2,1,427.5,automated matches {Cupriavidus necator [TaxId: 381666]}
a.102.1,1,28,9,423.25,"Glucoamylase {Aspergillus awamori, variant x100 [TaxId: 105351]}"
c.105.1,1,1,1,234.0,"2,3-Bisphosphoglycerate-independent phosphoglycerate mutase, substrate-binding domain {Bacillus stearothermophilus [TaxId: 1422]}"
c.78.1,1,20,2,159.55,Aspartate carbamoyltransferase catalytic subunit {Pyrococcus abyssi [TaxId: 29292]}
a.39.1,1,73,12,125.9041095890411,Calbindin D9K {Cow (Bos taurus) [TaxId: 9913]}
c.1.2,1,39,6,239.69230769230768,Cyclase subunit (or domain) of imidazoleglycerolphosphate synthase HisF {Thermotoga maritima [TaxId: 2336]}
c.47.1,1,215,24,124.5953488372093,Bacterocin transport accessory protein Bta {Pneumococcus (Streptococcus pneumoniae) [TaxId: 1313]}
c.33.1,1,23,2,198.30434782608697,Hypothetical protein YecD {Escherichia coli [TaxId: 562]}
d.393.1,1,3,1,419.6666666666667,"CRISPR-associated endonuclease Cas9/Csn1, REC lobe {Actinomyces naeslundii [TaxId: 1115803]}"
c.23.1,1,100,8,129.45,Cell division response regulator DivK {Caulobacter crescentus [TaxId: 155892]}
a.118.9,1,11,5,139.0909090909091,Epsin 1 {Norway rat (Rattus norvegicus) [TaxId: 10116]}
c.93.1,1,98,2,305.3061224489796,Amide receptor/negative regulator of the amidase operon (AmiC) {Pseudomonas aeruginosa [TaxId: 287]}
f.41.1,1,3,2,428.0,Preprotein translocase SecY subunit {Methanococcus jannaschii [TaxId: 2190]}
c.80.1,1,17,4,302.29411764705884,'Isomerase domain' of glucosamine 6-phosphate synthase (GLMS) {Escherichia coli [TaxId: 562]}
b.52.1,1,8,5,261.625,Endoglucanase V (Eng V) {Fungus (Humicola insolens) [TaxId: 34413]}
d.81.1,1,28,5,152.71428571428572,Acetaldehyde dehydrogenase (acylating) {Pseudomonas sp. [TaxId: 306]}
a.102.2,1,4,1,476.5,"Class I alpha-1;2-mannosidase, catalytic domain {Baker's yeast (Saccharomyces cerevisiae) [TaxId: 4932]}"
d.161.1,1,6,1,447.8333333333333,"Anthranilate synthase aminodeoxyisochorismate synthase/lyase subunit, TrpE {Serratia marcescens [TaxId: 615]}"
f.54.1,1,5,2,375.0,Na(+):neurotransmitter symporter homologue LeuT {Aquifex aeolicus [TaxId: 63363]}
e.6.1,1,22,3,234.27272727272728,"4-hydroxybutyryl-CoA dehydratase AbfD, NM domains {Clostridium aminobutyricum [TaxId: 33953]}"
