query_name,query_scop_id,query_scop_lineage,query_scop_lineage_fixed,query_family,query_superfamily,query_fold,query_class
d4j42a_ a.25.3.0 (A:) automated matches {Bacillus anthracis [TaxId: 260799]},d4j42a_,a.25.3.0,a.25.3.0,a.25.3.0,a.25.3,a.25,a
d1dlwa_ a.1.1.1 (A:) Protozoan/bacterial hemoglobin {Ciliate (Paramecium caudatum) [TaxId: 5885]},d1dlwa_,a.1.1.1,a.1.1.1,a.1.1.1,a.1.1,a.1,a
d2vs0a_ a.25.3.0 (A:) automated matches {Staphylococcus aureus [TaxId: 1280]},d2vs0a_,a.25.3.0,a.25.3.0,a.25.3.0,a.25.3,a.25,a
"d2gkma_ a.1.1.1 (A:) Protozoan/bacterial hemoglobin {Mycobacterium tuberculosis, HbN [TaxId: 1773]}",d2gkma_,a.1.1.1,a.1.1.1,a.1.1.1,a.1.1,a.1,a
d1qi9a_ a.111.1.2 (A:) Haloperoxidase (bromoperoxidase) {Ascophyllum nodosum [TaxId: 52969]},d1qi9a_,a.111.1.2,a.111.1.2,a.111.1.2,a.111.1,a.111,a
d4w4ka_ a.25.4.1 (A:) automated matches {Mycobacterium tuberculosis [TaxId: 652616]},d4w4ka_,a.25.4.1,a.25.4.1,a.25.4.1,a.25.4,a.25,a
"d1ngka_ a.1.1.1 (A:) Protozoan/bacterial hemoglobin {Mycobacterium tuberculosis, HbO [TaxId: 1773]}",d1ngka_,a.1.1.1,a.1.1.1,a.1.1.1,a.1.1,a.1,a
d4w4kb_ a.25.4.2 (B:) PPE41 {Mycobacterium tuberculosis [TaxId: 1773]},d4w4kb_,a.25.4.2,a.25.4.2,a.25.4.2,a.25.4,a.25,a
d2bkma_ a.1.1.1 (A:) automated matches {Geobacillus stearothermophilus [TaxId: 1422]},d2bkma_,a.1.1.1,a.1.1.1,a.1.1.1,a.1.1,a.1,a
d1qhba_ a.111.1.2 (A:) Haloperoxidase (bromoperoxidase) {Red algae (Corallina officinalis) [TaxId: 35170]},d1qhba_,a.111.1.2,a.111.1.2,a.111.1.2,a.111.1,a.111,a
d3fx7a1 a.25.5.1 (A:5-86) automated matches {Helicobacter pylori [TaxId: 210]},d3fx7a1,a.25.5.1,a.25.5.1,a.25.5.1,a.25.5,a.25,a
d2nr5a1 a.25.6.1 (A:1-64) Hypothetical protein SO2669 {Shewanella oneidensis [TaxId: 70863]},d2nr5a1,a.25.6.1,a.25.6.1,a.25.6.1,a.25.6,a.25,a
d4i0va_ a.1.1.1 (A:) automated matches {Synechococcus sp. [TaxId: 32049]},d4i0va_,a.1.1.1,a.1.1.1,a.1.1.1,a.1.1,a.1,a
d1vnsa_ a.111.1.3 (A:) Chloroperoxidase {Curvularia inaequalis [TaxId: 38902]},d1vnsa_,a.111.1.3,a.111.1.3,a.111.1.3,a.111.1,a.111,a
"d1asha_ a.1.1.2 (A:) Ascaris hemoglobin, domain 1 {Pig roundworm (Ascaris suum) [TaxId: 6253]}",d1asha_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
d1cnt1_ a.26.1.1 (1:) Ciliary neurotrophic factor (CNTF) {Human (Homo sapiens) [TaxId: 9606]},d1cnt1_,a.26.1.1,a.26.1.1,a.26.1.1,a.26.1,a.26,a
d1bgca_ a.26.1.1 (A:) Granulocyte-colony stimulating factor (G-CSF) {Cow (Bos taurus) [TaxId: 9913]},d1bgca_,a.26.1.1,a.26.1.1,a.26.1.1,a.26.1,a.26,a
d2dc3a_ a.1.1.2 (A:) Cytoglobin {Human (Homo sapiens) [TaxId: 9606]},d2dc3a_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
"d1wb9a1 a.113.1.1 (A:270-566) DNA repair protein MutS, domain III {Escherichia coli [TaxId: 562]}",d1wb9a1,a.113.1.1,a.113.1.1,a.113.1.1,a.113.1,a.113,a
d4hswa_ a.1.1.2 (A:) Dehaloperoxidase {Amphitrite ornata [TaxId: 129555]},d4hswa_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
"d1huwa_ a.26.1.1 (A:) Growth hormone, somatotropin {Human (Homo sapiens) [TaxId: 9606]}",d1huwa_,a.26.1.1,a.26.1.1,a.26.1.1,a.26.1,a.26,a
"d1ewqa1 a.113.1.1 (A:267-541) DNA repair protein MutS, domain III {Thermus aquaticus [TaxId: 271]}",d1ewqa1,a.113.1.1,a.113.1.1,a.113.1.1,a.113.1,a.113,a
"d1ecaa_ a.1.1.2 (A:) Erythrocruorin {Midge (Chironomus thummi thummi), fraction III [TaxId: 7154]}",d1ecaa_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
d1f45b_ a.26.1.1 (B:) Heterodimeric interleukin-12 alpha chain {Human (Homo sapiens) [TaxId: 9606]},d1f45b_,a.26.1.1,a.26.1.1,a.26.1.1,a.26.1,a.26,a
"d1x9fd_ a.1.1.2 (D:) Extracellular dodecameric hemoglobin (erythrocruorin), subunit D1 {Common earthworm (Lumbricus terrestris) [TaxId: 6398]}",d1x9fd_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
"d1f5na1 a.114.1.1 (A:284-583) Interferon-induced guanylate-binding protein 1 (GBP1), C-terminal domain {Human (Homo sapiens) [TaxId: 9606]}",d1f5na1,a.114.1.1,a.114.1.1,a.114.1.1,a.114.1,a.114,a
d6vkja2 a.114.1.0 (A:282-309) automated matches {Human (Homo sapiens) [TaxId: 9606]},d6vkja2,a.114.1.0,a.114.1.0,a.114.1.0,a.114.1,a.114,a
d1alua_ a.26.1.1 (A:) Interleukin-6 {Human (Homo sapiens) [TaxId: 9606]},d1alua_,a.26.1.1,a.26.1.1,a.26.1.1,a.26.1,a.26,a
"d1x9fc_ a.1.1.2 (C:) Extracellular dodecameric hemoglobin (erythrocruorin), subunit III (globin C) {Common earthworm (Lumbricus terrestris) [TaxId: 6398]}",d1x9fc_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
"d1i1rb_ a.26.1.1 (B:) Interleukin-6 {Human herpesvirus 8, Kaposi's sarcoma herpes-virus [TaxId: 37296]}",d1i1rb_,a.26.1.1,a.26.1.1,a.26.1.1,a.26.1,a.26,a
"d1bvp11 a.115.1.1 (1:1-120,1:255-349) BTV vp7 {Bluetongue virus [TaxId: 40051]}",d1bvp11,a.115.1.1,a.115.1.1,a.115.1.1,a.115.1,a.115,a
d1jl7a_ a.1.1.2 (A:) Glycera globin {Marine bloodworm (Glycera dibranchiata) [TaxId: 6350]},d1jl7a_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
d1ax8a_ a.26.1.1 (A:) Leptin (obesity protein) {Human (Homo sapiens) [TaxId: 9606]},d1ax8a_,a.26.1.1,a.26.1.1,a.26.1.1,a.26.1,a.26,a
"d1qhda1 a.115.1.2 (A:1-148,A:333-397) vp6, the major capsid protein of group A rotavirus {Bovine rotavirus [TaxId: 10927]}",d1qhda1,a.115.1.2,a.115.1.2,a.115.1.2,a.115.1,a.115,a
d1it2a_ a.1.1.2 (A:) Hagfish hemoglobin {Inshore hagfish (Eptatretus burgeri) [TaxId: 7764]},d1it2a_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
d1lkia_ a.26.1.1 (A:) Leukemia inhibitory factor (LIF) {Mouse (Mus musculus) [TaxId: 10090]},d1lkia_,a.26.1.1,a.26.1.1,a.26.1.1,a.26.1,a.26,a
"d1or4a_ a.1.1.2 (A:) Heme-based aerotactic transducer HemAT, sensor domain {Bacillus subtilis [TaxId: 1423]}",d1or4a_,a.1.1.2,a.1.1.2,a.1.1.2,a.1.1,a.1,a
