gene,k,shared_kmers
MTCH2,18,0
ZDHHC11B,18,0
SERPINE3,18,0
FASLG,18,6
CIMIP6,18,1
KLK14,18,0
CDK5R2,18,2
CAPZA3,18,0
MAGEB16,18,0
FSAF1,18,2
OR1M1,18,3
FKBP6,18,0
TDRD10,18,2
NMI,18,0
LUC7L,18,61
OR4M2-OT1,18,0
LCLAT1,18,0
PLPBP,18,0
TMEFF2,18,0
TP53TG5,18,0
TPM1,18,0
ZNF669,18,0
GNAZ,18,0
MBNL1,18,0
SPDYE2B,18,0
ENSG00000250349,18,0
OR2L13,18,0
MIOX,18,0
CENPVL2,18,0
MBNL2,18,0
IER5,18,0
PVRIG,18,1
FAM78B,18,0
CXADR,18,0
PACRGL,18,2
ADO,18,0
ENSG00000284906,18,0
ELOVL6,18,0
ZNF787,18,0
SEC22A,18,0
MPST,18,0
PGAP2,18,0
AGPAT3,18,0
MRPS18B,18,0
EXOG,18,2
CXorf58,18,3
CYTH4,18,0
PRICKLE4,18,2
NFE2,18,2
ACKR3,18,1
BPIFA1,18,0
OR14C36,18,0
CCDC188,18,2
OR2G2,18,0
MRM2,18,0
CCDC68,18,1
HSD17B14,18,0
UBL7,18,0
OR52E8,18,0
GSG1L2,18,0
PDF,18,0
M6PR,18,1
PCGF6,18,0
TMEM64,18,1
OR2I1,18,1
CLVS1,18,0
SULT1C2,18,0
NFAM1,18,5
STN1,18,0
TGFB1,18,0
SIGLEC15,18,0
RNF121,18,0
C16orf78,18,0
ANXA8,18,0
MDH1,18,0
PRR23E,18,5
KLF1,18,0
GRXCR2,18,0
RAD9A,18,12
C1QTNF3,18,0
TSPAN10,18,8
EIF3J,18,3
CD1D,18,3
SH2D6,18,0
OLIG1,18,8
GRAP2,18,0
OR52N1,18,0
SLC25A45,18,1
LAYN,18,0
ZCCHC12,18,1
ST8SIA3,18,3
GEMIN8,18,1
SDR42E1,18,0
SLC30A3,18,0
TMBIM1,18,0
TMEM38B,18,3
KRTAP9-1,18,0
EIPR1,18,4
OR11L1,18,0
OR51E2,18,0
CSF2RA,18,0
PAGR1,18,0
FAM107B,18,0
UNC119B,18,0
CREBZF,18,0
PLPP3,18,0
C1QBP,18,0
PANX3,18,1
C1QTNF2,18,0
FSTL1,18,1
PSMA8,18,4
TFB2M,18,0
SLC25A40,18,0
OR13A1,18,4
ZDHHC19,18,0
CA2,18,0
EFNB2,18,3
TEX26,18,2
TXNL1,18,0
MITD1,18,0
MFAP3,18,0
AKTIP,18,0
OSGEP,18,0
SRSF6,18,48
PRDM12,18,0
OPRPN,18,1
SH3GL3,18,2
TTPAL,18,0
UCK1,18,0
ATXN3,18,8
FGF23,18,0
SLC25A3,18,0
OR2A42,18,0
SRD5A1,18,0
ZNG1B,18,0
HDGFL1,18,0
OTULINL,18,3
GIMAP5,18,0
MNX1,18,4
KDF1,18,1
PRKAR1A,18,0
CDX4,18,0
LY6G6F,18,0
SLC25A51,18,0
IDI1,18,2
FBXO2,18,1
SETD7,18,0
ARHGAP11B,18,0
KLK4,18,0
BCDIN3D,18,0
SRRD,18,0
KCNJ11,18,0
GPR160,18,1
CALR3,18,0
CD55,18,3
HSDL1,18,3
VPS26C,18,0
SLC25A15,18,0
ARGLU1,18,85
GRTP1,18,2
CYSLTR2,18,2
RPSA,18,0
NME1-NME2,18,1
OR4K15,18,0
OR2M3,18,0
SUPT3H,18,0
UBXN2A,18,1
HOXA1,18,0
METTL22,18,0
MACROH2A1,18,2
DNASE1L3,18,0
DPF2,18,0
MAGEA9,18,1
PRELP,18,0
GPD1L,18,0
OR4F29,18,2
CCDC117,18,1
SIGLEC14,18,0
EAF1,18,0
TAS2R31,18,1
CTBS,18,0
FEZ2,18,0
PRPS1L1,18,0
NXPH4,18,0
CEP44,18,0
CCN3,18,0
UBTFL1,18,16
PNMA6A,18,4
PRB3,18,0
KRTAP29-1,18,1
GPR171,18,0
CD200R1L,18,0
CYTH1,18,4
MAP2K4,18,0
NXPH3,18,0
ICAM2,18,0
OR51V1,18,0
RBM43,18,0
RRH,18,0
ZCWPW2,18,7
TBX10,18,0
GOLM1,18,0
PNPO,18,0
VDAC1,18,2
MVB12A,18,2
C1orf141,18,0
PDCD2,18,0
CEACAM19,18,0
CLEC12A,18,0
RPS3A,18,0
SIRPB1,18,0
GCLM,18,0
LYPD5,18,0
SFXN3,18,3
HSPE1-MOB4,18,0
CD72,18,0
RFXANK,18,0
MRPS35,18,0
HAVCR2,18,2
ESAM,18,3
ENSG00000270249,18,1
RCN3,18,2
C20orf96,18,0
GNA15,18,0
OR5M3,18,0
UPK3BL1,18,3
COQ3,18,1
PBK,18,0
OR4K13,18,1
KLF14,18,0
CCN2,18,0
CERS1,18,10
FAM210A,18,0
VSIG2,18,0
HENMT1,18,0
LRRC39,18,0
SURF6,18,11
MRM1,18,0
LRRC19,18,2
UBE3D,18,0
SPRY3,18,2
STARD10,18,8
ZNF771,18,1
SLC35F2,18,1
GPRC5A,18,2
LIPT1,18,0
GJC3,18,2
AZI2,18,0
SLC35B4,18,0
PIPOX,18,0
METTL24,18,1
STX5,18,4
RNASET2,18,3
IGBP1C,18,6
ACTRT2,18,0
HOXB8,18,0
FOLR2,18,0
ANKRD30BL,18,0
NCK1,18,1
GLT1D1,18,1
ECHDC1,18,3
WNT9B,18,0
OR2J3,18,0
DECR2,18,0
OR5B17,18,3
B3GALT1,18,0
KCTD12,18,0
PLSCR3,18,0
OR11H4,18,0
TMEM163,18,1
POU5F2,18,0
KIAA1191,18,0
EEF1AKMT4,18,0
RWDD3,18,0
CMBL,18,3
POU3F4,18,0
CCDC42,18,0
ZNF330,18,0
CT47A12,18,0
KRT33A,18,7
NKAPD1,18,81
SMN2,18,0
ERGIC3,18,0
EIF2S2,18,0
SLBP,18,0
ECHDC2,18,0
EIF3I,18,0
STAC,18,3
ERFL,18,0
FGF5,18,0
MRPL28,18,0
RRAGD,18,5
