NAME,SCOP,HP_SFAM,HP_SFAMCNT,FoldSeek_detected,FoldSeek_SFAM,FoldSeek_SFAMCNT,TEA_detected,TEA_SFAM,TEA_SFAMCNT
d3fxwa_,d.144.1.7,1.0,2,false,,,false,,
d1w7ja2,c.37.1.9,1.0,2,false,,,false,,
d7rcaa1,d.258.1.1,1.0,2,false,,,false,,
d6pyma_,b.47.1.1,1.0,2,false,,,false,,
d4qeca_,c.2.1.0,1.0,2,false,,,false,,
g1qhh.1,c.37.1.19,1.0,2,false,,,false,,
d1b63a2,d.122.1.2,1.0,2,false,,,false,,
d1agja_,b.47.1.1,1.0,2,false,,,false,,
d3tewa2,b.179.1.1,1.0,2,false,,,false,,
d1h7sa2,d.122.1.2,1.0,2,false,,,false,,
d3lfua2,c.37.1.0,1.0,2,false,,,false,,
d2weia1,d.144.1.0,1.0,2,false,,,false,,
d1ngvb_,c.111.1.2,1.0,2,false,,,false,,
d6ui4a_,c.37.1.0,1.0,2,false,,,false,,
d3v6ta_,a.298.1.1,1.0,8,false,,,false,,
d3i4fa_,c.2.1.0,1.0,2,false,,,false,,
d1um0a_,d.258.1.1,1.0,2,false,,,false,,
