NAME,SCOP,FAM,FAMCNT,SFAM,SFAMCNT,FOLD,FOLDCNT,FP
d6yoja_,d.144.1.7,0.0,0,1.0,2,1.0,2,1
d1nbaa_,c.33.1.3,0.0,0,0.0,0,0.0,0,1
d3kd6a1,c.72.1.0,0.0,0,0.0,0,0.0,0,1
d1h0aa_,a.118.9.1,0.0,0,0.0,0,0.0,0,1
d2c81a_,c.67.1.0,1.0,2,1.0,2,1.0,2,0
d4nbua_,c.2.1.0,1.0,2,1.0,2,1.0,2,0
d1b63a2,d.122.1.2,1.0,2,1.0,2,1.0,2,0
d6dvra_,c.66.1.6,0.0,0,1.0,3,1.0,3,1
d1gp6a_,b.82.2.1,0.0,0,1.0,2,1.0,2,1
g1qhh.1,c.37.1.19,0.0,0,1.0,2,1.0,2,1
d3k2wa1,c.82.1.0,1.0,2,1.0,2,1.0,2,0
d6lona_,c.7.1.0,0.0,0,1.0,2,1.0,2,1
d2wqma_,d.144.1.0,0.0,0,1.0,2,1.0,2,1
d1w7ja2,c.37.1.9,0.0,0,1.0,2,1.0,2,1
d2cxna_,c.80.1.2,0.0,0,0.0,0,0.0,0,1
d5lhaa_,c.67.1.0,1.0,2,1.0,2,1.0,2,0
d5w1ua_,c.69.1.0,0.0,0,1.0,2,1.0,2,1
d6pyma_,b.47.1.1,1.0,2,1.0,2,1.0,2,0
d4e4ra1,c.77.1.5,1.0,2,1.0,2,1.0,2,0
d2q4oa_,c.129.1.1,1.0,2,1.0,2,1.0,2,0
d1wqga_,d.67.3.1,1.0,2,1.0,2,1.0,2,0
d7rcaa1,d.258.1.1,1.0,2,1.0,2,1.0,2,0
d5izda1,c.82.1.0,1.0,2,1.0,2,1.0,2,0
d3b82a1,c.37.1.8,0.0,0,1.0,2,1.0,2,1
d2absa1,c.72.1.1,0.0,0,0.0,0,0.0,0,1
d4yzra_,a.104.1.0,1.0,2,1.0,2,1.0,2,0
d6n7aa_,d.144.1.0,0.0,0,1.0,2,1.0,2,1
d2o1ba_,c.67.1.0,0.0,0,0.0,0,0.0,0,1
d1teda2,c.95.1.2,1.0,2,1.0,2,1.0,2,0
d2wsba_,c.2.1.0,0.0,0,0.0,0,0.0,0,1
d1t35a_,c.129.1.1,1.0,2,1.0,2,1.0,2,0
d1ilea3,c.26.1.1,1.0,2,1.0,2,1.0,2,0
d5z1fa1,f.68.1.2,0.0,0,0.0,0,0.0,0,1
d6lsva_,b.82.2.0,0.0,0,1.0,2,1.0,2,1
d6id0c1,c.37.1.0,0.0,0,1.0,2,1.0,2,1
d1u0ma2,c.95.1.2,1.0,2,1.0,2,1.0,2,0
