gene,region_length,region_evalue,region_ka_lambda,best_overlap,frac_of_region,passes_20pct,any_overlap,n_pfam_domains,expected_rate
DICER1,44,2.4313975652510247,0.28697389483486646,37,0.8409090909090909,true,true,9,0.620010643959553
SFI1,36,2.5093740766518415,0.28697389483486646,36,1.0,true,true,1,0.4888152444076222
CD101,38,7.983959666032431,0.25714470780959814,5,0.13157894736842105,false,true,3,0.3648373983739837
PCDHGA9,32,10.410448132742273,0.2776146506924926,32,1.0,true,true,8,0.9489456159822419
TSHZ2,36,13.235913677099761,0.25743065558301087,0,0.0,false,false,1,0.08608608608608609
TEKT3,43,13.55177939694768,0.2643160590057342,43,1.0,true,true,1,0.8571428571428571
CUEDC1,40,15.518736024619258,0.2630360973916947,7,0.175,false,true,1,0.1930835734870317
NDNF,31,23.144318833221742,0.28572660750544693,31,1.0,true,true,3,0.8884758364312267
NUP133,26,25.012204935359687,0.2798841660646153,0,0.0,false,false,1,0.29973474801061006
PACS1,26,25.012204935359687,0.2798841660646153,25,0.9615384615384616,true,true,2,0.6257995735607675
EPRS1,26,25.012204935359687,0.2798841660646153,26,1.0,true,true,10,0.7821116341627438
JMJD1C,25,29.077024831553086,0.2850561553273286,0,0.0,false,false,4,0.14546899841017488
ZBED6,28,33.984259628845926,0.27475186265293694,0,0.0,false,false,4,0.37289915966386555
PDIA5,39,57.15707056660743,0.22649399995765804,24,0.6153846153846154,true,true,3,0.7422037422037422
ZNF592,27,60.51812078630315,0.26234753317659115,0,0.0,false,false,2,0.0854149879129734
TRAPPC10,30,80.28235274768927,0.22326643736068266,30,1.0,true,true,5,0.6479674796747967
CAMSAP1,48,86.28530848780963,0.20407883997703297,44,0.9166666666666666,true,true,4,0.3035369774919614
ZNF549,25,91.59363764297743,0.23915961638445338,19,0.76,true,true,14,0.6801948051948052
MUC16,26,108.74230158198289,0.22336043628541047,0,0.0,false,false,16,0.13257837315287943
ORC2,32,122.24940848663825,0.19374494147241506,0,0.0,false,false,2,0.4542124542124542
SIM1,33,131.22387628256752,0.2025756084001093,33,1.0,true,true,4,0.7752043596730245
CFAP184,65,371.522408911905,0.12694047791540025,0,0.0,false,false,1,0.3625254582484725
TSHZ3,77,404.729760115172,0.13914935383764918,0,0.0,false,false,2,0.18109452736318407
TSHZ1,77,459.0323078733406,0.12506390680772972,0,0.0,false,false,1,0.1108891108891109
ACE2,32,479.2301659247572,0.14723088952736912,32,1.0,true,true,2,0.9870801033591732
RIOK3,44,547.5960001253751,0.16376766048528052,0,0.0,false,false,1,0.4684873949579832
ZNF3,34,1023.6444868287549,0.11365086567886701,15,0.4411764705882353,true,true,9,0.7336561743341404
ZNF471,41,1611.126704253239,0.11172937850288614,20,0.4878048780487805,true,true,15,0.7679180887372014
SENP2,26,2043.1360538165231,0.11054273204305418,0,0.0,false,false,1,0.3102836879432624
ADGB,82,2554.094082036948,0.0710887462533192,82,1.0,true,true,4,0.4810844892812106
ZFP28,35,2603.471841219372,0.09707676370450488,20,0.5714285714285714,true,true,15,0.6270983213429256
RPS6KC1,40,2945.9829813663323,0.07811131736806305,0,0.0,false,false,3,0.35443037974683544
ZNF292,61,4814.576802318808,0.05812532541746493,0,0.0,false,false,5,0.21554637626736764
FRG2B,49,36102.00131494766,0.00007350898860635647,14,0.2857142857142857,true,true,1,0.9130434782608695
SETD5,45,inf,0.0,0,0.0,false,false,1,0.09370529327610873
PWWP3A,39,inf,0.0,0,0.0,false,false,3,0.5714285714285714
SON,86,inf,0.0,81,0.9418604651162791,true,true,3,0.15249893208030757
ZNF713,28,inf,0.0,0,0.0,false,false,5,0.47596153846153844
DHX8,65,inf,0.0,0,0.0,false,false,6,0.6141868512110726
DZIP3,25,inf,0.0,25,1.0,true,true,6,0.5996621621621622
ZNF592,24,inf,0.0,0,0.0,false,false,2,0.08360128617363344
RAD50,34,inf,0.0,0,0.0,false,false,3,0.3049257232212666
TSHZ2,58,inf,0.0,0,0.0,false,false,1,0.1023541453428864
BMP3,30,inf,0.0,0,0.0,false,false,1,0.2234762979683973
PNN,69,inf,0.0,0,0.0,false,false,2,0.38058551617873654
ELP1,25,inf,0.0,25,1.0,true,true,5,0.9472477064220184
DCUN1D4,34,inf,0.0,0,0.0,false,false,1,0.43243243243243246
CFAP43,56,inf,0.0,56,1.0,true,true,1,0.5391304347826087
PHF14,32,inf,0.0,0,0.0,false,false,4,0.34242093784078514
RNMT,55,inf,0.0,16,0.2909090909090909,true,true,1,0.7819905213270142
PHF14,51,inf,0.0,0,0.0,false,false,4,0.38084632516703787
BAZ2B,67,inf,0.0,0,0.0,false,false,5,0.22359657469077068
SLC16A7,27,inf,0.0,0,0.0,false,false,1,0.8407079646017699
RSF1,83,inf,0.0,0,0.0,false,false,2,0.14054451802796172
ZNF510,56,inf,0.0,0,0.0,false,false,10,0.5477707006369427
TMCO2,28,inf,0.0,28,1.0,true,true,1,1.0
SRRM2,58,inf,0.0,0,0.0,false,false,1,0.029313543599257884
TATDN2,39,inf,0.0,0,0.0,false,false,1,0.3582295988934993
MUC16,36,inf,0.0,0,0.0,false,false,16,0.13930348258706468
LRRIQ1,62,inf,0.0,0,0.0,false,false,3,0.12281757977122215
