superfamily,n_domains,avg_disorder_propensity,avg_charge_fraction,avg_hydrophobic_fraction,avg_proline_fraction,avg_complexity
d.258.1,3,1.7471540962352547,0.23856306148224374,0.39726528034705577,0.04469334221593038,0.931446630290834
a.298.1,3,1.6427608121588584,0.15974576517206815,0.43352016168660706,0.04186048001844351,0.8694557940263067
a.196.1,1,1.5869565217391304,0.2689655172413793,0.38620689655172413,0.05517241379310345,0.9416405315771746
c.122.1,9,1.5740382432549203,0.21477298671992026,0.43520273215613836,0.05462610359726655,0.9289574018592057
d.67.3,4,1.5706168831168832,0.31758401466377584,0.39748069793614804,0.050155575048410325,0.9029409188708761
c.146.1,2,1.560744627686157,0.1964277896948737,0.4573884778706825,0.038685264632491355,0.904515245806295
e.6.1,22,1.5485300576027685,0.23030058140065116,0.41105930892716036,0.047918971161690596,0.9379799431672929
c.1.12,18,1.5314836114611179,0.22645181846882162,0.45547955966830805,0.04578895160383806,0.9322870505415719
d.58.31,5,1.525927830786309,0.26203495496137325,0.4082703663479464,0.05576910564229458,0.9436087100048525
c.95.1,57,1.525786012367738,0.21014476231939666,0.43022913487146464,0.04781898277946361,0.9241762040683311
b.52.1,8,1.5243506823548558,0.2116913994673501,0.369304897359036,0.06849408803299062,0.9397884802590716
d.393.1,3,1.517196236127135,0.32489572480445217,0.37541051013651194,0.0348047244547258,0.9285661257532306
d.58.21,2,1.499401913875598,0.28523854511100616,0.4536136041568257,0.041237600377893244,0.8864529519401338
a.93.1,7,1.4705393442427321,0.22664268223643277,0.3966069595615607,0.06154395784594047,0.9395931148264207
d.58.26,12,1.4619123974804111,0.2685681274999489,0.419241248790289,0.045100870273920846,0.9088826899523729
c.1.11,43,1.453459412112914,0.24044818509594856,0.4342704373322067,0.04820665349375034,0.9390233422627922
c.82.1,35,1.4502723121018681,0.2241566672730238,0.4358288839785096,0.04973468800011849,0.9397419829721301
d.161.1,6,1.4426585796902442,0.23730097222497246,0.4270062618400237,0.050102812482052984,0.941139629648945
c.77.1,16,1.4149965156997026,0.2287065167476819,0.44139566344971437,0.046244888215248324,0.93352920664073
c.92.2,38,1.4128552055542731,0.24717636658278766,0.4174651432220769,0.048626549998200944,0.9307076887389036
c.23.5,37,1.3982836561532075,0.23900099418482115,0.42745541683158106,0.036296474368809346,0.928514538672706
a.104.1,73,1.3863218304023976,0.2460699503576466,0.4256577673602583,0.06406711380762987,0.9405574060719842
c.79.1,20,1.383972748677675,0.2200434001312504,0.43193627648039107,0.04741396250273119,0.937886129307959
a.127.1,13,1.3838107580551158,0.23032568443564608,0.4357636458596494,0.03739137786376866,0.9380137571126845
c.1.4,27,1.373914879574778,0.23529297640810168,0.43280038432918894,0.04478747172372092,0.9395020272417585
f.1.1,2,1.3643835616438356,0.25587840597467765,0.48216056946146213,0.010487776416360348,0.8970573723166124
