NAME,SCOP,HP_SFAM,HP_SFAMCNT,FoldSeek_SFAM,FoldSeek_SFAMCNT,TEA_SFAM,TEA_SFAMCNT,HP_vs_FoldSeek,HP_vs_TEA
d1rjoa1,b.30.2.1,0.0,3,0.0,0,0.0,0,0.0,0.0
d2onsa2,c.94.1.1,0.0,15,0.0,0,0.0,0,0.0,0.0
d2bi0a2,d.38.1.4,0.0,2,0.0,0,0.0,0,0.0,0.0
d1a0tp_,f.4.3.2,0.0,2,0.823529,18,0.941176,18,-0.823529,-0.941176
d3axja1,a.118.16.0,0.0,0,0.0,0,0.0,0,0.0,0.0
d3idaa2,b.18.1.0,0.0,2,0.0,0,0.0,0,0.0,0.0
d1sbya_,c.2.1.2,0.0,10,0.0,0,0.0,0,0.0,0.0
d4duia1,d.211.1.1,0.18181818181818182,23,0.928571,32,0.928571,32,-0.7467528181818182,-0.7467528181818182
d6cj7a_,e.1.1.0,0.2857142857142857,8,0.0,0,0.0,0,0.2857142857142857,0.2857142857142857
d6aqga1,b.40.4.0,0.0,2,0.245283,130,0.358491,130,-0.245283,-0.358491
d4gyva1,a.87.1.0,0.0,4,0.0,0,0.0,0,0.0,0.0
d4fvda_,b.47.1.0,0.0,3,0.0,0,0.0,0,0.0,0.0
d5wp6b2,d.211.1.1,0.0,2,0.357143,32,0.214286,32,-0.357143,-0.214286
d2f62a2,c.23.14.1,0.0,0,0.333333,8,0.166667,8,-0.333333,-0.166667
d5jhxa2,a.93.1.0,0.0,3,0.0,0,0.0,0,0.0,0.0
d2x1ya2,c.7.1.2,0.0,2,0.0,0,0.0,0,0.0,0.0
d1jcmp_,c.1.2.4,0.0,4,0.933333,39,0.966667,39,-0.933333,-0.966667
d5efza_,c.69.1.0,0.0,15,0.0,0,0.0,0,0.0,0.0
d1j5va1,c.72.1.1,0.1111111111111111,10,0.976744,51,0.976744,51,-0.8656328888888889,-0.8656328888888889
d1n93x_,a.206.1.1,0.0,0,0.0,0,0.0,0,0.0,0.0
d3gm5a1,d.32.1.0,0.0,2,0.0,0,0.0,0,0.0,0.0
d1i8ua_,b.1.9.2,0.0,0,0.0,0,0.0,0,0.0,0.0
d5vrka_,c.1.9.0,0.0,8,0.675,60,0.95,60,-0.675,-0.95
d2d0oa1,c.8.6.1,0.0,0,0.0,0,0.0,0,0.0,0.0
d1z6na1,c.47.1.1,0.0,2,0.466321,215,0.523316,215,-0.466321,-0.523316
d1sqga2,c.66.1.38,0.0,7,0.0,0,0.0,0,0.0,0.0
d4jdpa_,c.108.1.0,0.0,8,0.0,0,0.0,0,0.0,0.0
d1r6wa1,c.1.11.2,0.0,6,0.969697,43,0.969697,43,-0.969697,-0.969697
d1ki1b1,a.87.1.1,0.0,2,0.0,0,0.0,0,0.0,0.0
d1w6ka2,a.102.4.2,0.0,0,0.6,13,0.545455,14,-0.6,-0.545455
d1dlja2,c.2.1.6,0.0,10,0.0,0,0.0,0,0.0,0.0
d4h15a1,c.2.1.0,0.0,26,0.0,0,0.0,0,0.0,0.0
d1sb7a1,d.265.1.4,0.0,0,0.0,0,0.0,0,0.0,0.0
d3cb0a_,b.45.1.0,0.0,2,0.827586,46,0.931034,46,-0.827586,-0.931034
d3e8lc_,b.42.4.0,0.0,3,0.857143,17,0.75,18,-0.857143,-0.75
d1wqga_,d.67.3.1,1.0,3,0.0,0,0.0,0,1.0,1.0
d4g1ma3,b.1.15.0,0.0,0,0.0,4,0.0,4,0.0,0.0
d2paja2,c.1.9.9,0.0,6,0.578947,60,0.929825,60,-0.578947,-0.929825
d5irca1,a.116.1.0,0.0,3,0.0,0,0.0,0,0.0,0.0
d4ysna1,c.67.1.0,0.0,27,0.980769,143,0.980769,143,-0.980769,-0.980769
d3cnla_,c.37.1.0,0.0,9,0.0,0,0.0,0,0.0,0.0
d6iika_,d.3.1.9,0.0,0,0.0,0,0.0,0,0.0,0.0
d1lf9a1,a.102.1.5,0.0,2,0.0,0,0.0,0,0.0,0.0
d1nowa1,c.1.8.6,0.0,9,0.606061,135,0.795455,135,-0.606061,-0.795455
d1tt8a_,d.190.1.1,0.0,0,0.0,0,0.0,0,0.0,0.0
d3m4ia_,e.78.1.1,0.0,0,0.0,0,0.0,0,0.0,0.0
d2q6ka1,c.132.1.0,0.0,0,0.0,0,0.0,0,0.0,0.0
d5j0aa1,d.144.1.0,0.0,15,0.0,0,0.0,0,0.0,0.0
d2bhua3,c.1.8.1,0.0,17,0.481481,135,0.703704,135,-0.481481,-0.703704
d7k3ma_,e.3.1.0,0.0,6,0.0,0,0.0,0,0.0,0.0
d3o63a1,c.1.3.0,0.0,2,0.0,0,0.0,0,0.0,0.0
d1y9ia_,a.195.1.1,0.0,0,0.0,0,0.0,0,0.0,0.0
