NAME,SCOP,FAM,FAMCNT,SFAM,SFAMCNT,FOLD,FOLDCNT,FP
d1i7ka_,d.20.1.1,1.0,2,1.0,2,1.0,2,0
d5dmha_,c.146.1.0,0.0,0,0.0,0,0.0,0,1
d1elja_,c.94.1.1,0.0,0,0.0,0,0.0,0,1
d2w5aa1,d.144.1.7,0.0,0,1.0,2,1.0,2,1
d1z2ua1,d.20.1.1,1.0,2,1.0,2,1.0,2,0
d4e4ra1,c.77.1.5,1.0,2,1.0,2,1.0,2,0
d4ioja_,c.37.1.10,0.0,0,0.0,0,0.0,0,1
d6iemb_,a.127.1.0,0.0,0,0.0,0,0.0,0,1
d2q4oa_,c.129.1.1,1.0,2,1.0,2,1.0,2,0
d5bsra_,e.23.1.0,0.0,0,1.0,2,1.0,2,1
d1gwma1,b.18.1.19,0.0,0,0.0,0,0.0,0,1
d1t35a_,c.129.1.1,1.0,2,1.0,2,1.0,2,0
d1teda2,c.95.1.2,1.0,2,1.0,2,1.0,2,0
d3ii9a1,e.6.1.0,0.0,0,0.0,0,0.0,0,1
d2weia1,d.144.1.0,0.0,0,1.0,3,1.0,3,1
d4d9ba_,c.79.1.0,0.0,0,1.0,2,1.0,2,1
d2a65a1,f.54.1.1,0.0,0,0.0,0,0.0,0,1
d3t6el_,f.26.1.1,0.0,0,0.0,0,0.0,0,1
d4c08a_,c.66.1.0,0.0,2,1.0,3,1.0,3,1
d1j0aa_,c.79.1.1,0.0,0,1.0,2,1.0,2,1
d1kuta_,d.143.1.1,0.0,0,0.0,0,0.0,0,1
d1txoa_,d.219.1.1,0.0,0,1.0,2,1.0,2,1
d5li7a_,a.104.1.0,0.0,0,0.0,0,0.0,0,1
d4esma_,d.178.1.1,0.0,0,0.0,0,0.0,0,1
d1k75a_,c.82.1.2,0.0,0,0.0,0,0.0,0,1
d2iz2a1,a.123.1.0,0.0,0,1.0,2,1.0,2,1
d2ri9a_,a.102.2.1,0.0,0,0.0,0,0.0,0,1
d1ngvb_,c.111.1.2,1.0,2,1.0,2,1.0,2,0
d4b9da1,d.144.1.0,1.0,2,1.0,2,1.0,2,0
d6n7aa_,d.144.1.0,0.0,0,1.0,2,1.0,2,1
d1i7qa_,d.161.1.1,0.0,0,0.0,0,0.0,0,1
d5i7ia_,c.94.1.0,0.0,0,0.0,0,0.0,0,1
d3jqka_,d.58.21.0,1.0,2,1.0,2,1.0,2,0
d3tewa2,b.179.1.1,1.0,2,1.0,2,1.0,2,0
