arm,tool,target,label_rule,query_acc,term_id,true_start,true_end,best_qstart,best_qend,best_target_acc,best_tstart,best_tend,best_t_feat_start,best_t_feat_end,best_rank_score,best_iou,best_inside,best_cover,n_overlapping_calls,n_overlapping_targets,any_inside_half,landed,n_landed_targets,land_qstart,land_qend,land_target_acc,land_tstart,land_tend,land_t_feat_start,land_t_feat_end,land_rank_score,land_iou,land_inside,land_cover,rank_by,chosen_arm,own_arm,n_choose_regions,tool_label,query_half,term_half,term_name,length,mean_plddt_region,disorder_fraction_region,has_model,protein_length,gene,kd_landed,placement_p,case_rank,n_drawn,random_query_p,passes,km_iou,km_arm,category,confident,n_hits
foldseek,foldseek,disprot,same_term,P08621,GO:0005515,183,437,310,437,Q06628,283,378,358,389,4.0,0.5,1.0,0.5,31,26,true,true,13,310,437,Q06628,283,378,358,389,4.0,0.5,1.0,0.5,score,,,,Foldseek,report,report,protein binding,254,57.51622047244095,1.0,true,437,SNRNP70,false,0.4919614147909968,431,117,0.7372881355932204,false,0.9133858267716536,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,"inside, lower IoU",pLDDT < 70,177
foldseek,foldseek,disprot,same_term,P04156,GO:0140693,22,124,0,253,P04925,0,254,22,114,1010.0,0.4031620553359684,0.4031620553359684,1.0,2,2,true,false,0,,,,,,,,,,,,score,,,,Foldseek,report,choose,molecular condensate scaffold activity,102,40.65196078431372,1.0,true,253,PRNP,false,,,,,false,0.6851851851851852,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,"inside, lower IoU",pLDDT < 70,182
foldseek,foldseek,disprot,same_term,P04004,GO:0005515,0,130,4,111,Q6MRH6,1,101,0,101,11.0,0.823076923076923,1.0,0.823076923076923,43,31,true,true,5,4,111,Q6MRH6,1,101,0,101,11.0,0.823076923076923,1.0,0.823076923076923,score,,,,Foldseek,report,report,protein binding,130,52.54838461538461,0.5769230769230769,true,478,VTN,false,0.12096774193548387,26,106,0.028037383177570093,false,0.3230769230769231,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,180
foldseek,foldseek,disprot,same_term,Q13029,GO:0005515,296,341,294,441,Q05753,1,195,36,231,-1.0,0.30612244897959184,0.30612244897959184,1.0,28,18,false,false,0,,,,,,,,,,,,score,,,,Foldseek,report,report,protein binding,45,33.023777777777774,1.0,true,1718,PRDM2,false,,,,,false,0.7692307692307693,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,spills,pLDDT < 70,40
foldseek,foldseek,disprot,same_term,O15234,GO:0005515,136,283,121,367,Q9LUA9,118,301,174,208,-2.0,0.5975609756097561,0.5975609756097561,1.0,50,32,true,true,4,190,270,Q7YUB9,3,85,0,86,1.0,0.54421768707483,1.0,0.54421768707483,score,,,,Foldseek,report,report,protein binding,147,70.22795918367348,1.0,true,703,CASC3,false,0.16025641025641027,114,97,0.07142857142857142,false,0.673469387755102,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,"inside, lower IoU",pLDDT >= 70,89
foldseek,foldseek,disprot,same_term,Q9BTT0,GO:0044183,185,232,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,Foldseek,report,report,protein folding chaperone,47,51.76255319148937,1.0,true,268,ANP32E,false,,,,,false,0.9215686274509803,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,no call,pLDDT < 70,122
foldseek,foldseek,disprot,same_term,P08621,GO:0005515,229,306,32,238,Q9JJW6,28,199,28,41,174.0,0.032846715328467155,0.043689320388349516,0.11688311688311688,8,6,false,false,0,,,,,,,,,,,,score,,,,Foldseek,report,report,protein binding,77,57.88142857142857,1.0,true,437,SNRNP70,false,,,,,false,0.9746835443037974,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,spills,pLDDT < 70,36
foldseek,foldseek,disprot,same_term,Q13625,GO:0005515,709,904,727,846,P09883,4,99,53,63,3.0,0.6102564102564103,1.0,0.6102564102564103,75,51,true,true,4,727,846,P09883,4,99,1,18,3.0,0.6102564102564103,1.0,0.6102564102564103,score,,,,Foldseek,report,report,protein binding,195,41.278564102564104,1.0,true,1128,TP53BP2,false,0.12178217821782178,139,52,0.49056603773584906,false,0.3641025641025641,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,148
foldseek,foldseek,disprot,same_term,P21815,GO:0005515,0,317,51,304,B6KJB6,150,446,336,542,1.0,0.7981072555205048,1.0,0.7981072555205048,44,32,true,true,18,51,304,B6KJB6,150,446,336,542,1.0,0.7981072555205048,1.0,0.7981072555205048,score,,,,Foldseek,report,report,protein binding,317,49.88529968454259,0.9968454258675079,true,317,IBSP,false,1.0,54,58,0.05084745762711865,false,0.6088328075709779,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,201
foldseek,foldseek,disprot,same_term,P38936,GO:0140677,0,164,19,141,F6IAY2,150,276,176,346,-2.0,0.7439024390243902,1.0,0.7439024390243902,2,2,true,true,2,19,141,F6IAY2,150,276,176,346,-2.0,0.7439024390243902,1.0,0.7439024390243902,score,,,,Foldseek,report,choose,molecular function activator activity,164,69.00341463414634,0.7195121951219512,true,164,CDKN1A,false,1.0,99,33,0.3235294117647059,false,0.4695121951219512,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,149
foldseek,foldseek,disprot,same_term,Q8IW19,GO:0005515,449,511,494,510,P9WHN5,33,49,29,59,-6.0,0.25806451612903225,1.0,0.25806451612903225,30,17,true,false,0,,,,,,,,,,,,score,,,,Foldseek,report,report,protein binding,62,65.8941935483871,0.9193548387096774,true,511,APLF,false,,,,,false,0.43548387096774194,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,"inside, lower IoU",pLDDT < 70,44
foldseek,foldseek,disprot,same_term,Q13569,GO:0098772,50,111,8,119,C9ZXG5,1,103,64,76,0.0,0.5495495495495496,0.5495495495495496,1.0,1,1,true,false,0,,,,,,,,,,,,score,,,,Foldseek,report,report,molecular function regulator,61,46.49672131147541,0.8852459016393442,true,410,TDG,false,,,,,false,0.7377049180327869,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,"inside, lower IoU",pLDDT < 70,108
foldseek,foldseek,disprot,same_term,P38398,GO:0005515,1342,1440,1305,1439,P08510,496,647,512,655,5.0,0.7185185185185186,0.7238805970149254,0.9897959183673469,16,13,true,true,3,1391,1433,A0A068MVV3,0,45,0,65,14.0,0.42857142857142855,1.0,0.42857142857142855,score,,,,Foldseek,report,report,protein binding,98,48.249387755102035,1.0,true,1863,BRCA1,false,0.04006586169045005,10,22,0.043478260869565216,true,0.826530612244898,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,"inside, lower IoU",pLDDT < 70,32
foldseek,foldseek,disprot,same_term,Q9UBT3,IDPO:0000033,93,140,95,145,Q91WA6,297,347,300,341,1.0,0.8653846153846154,0.9,0.9574468085106383,14,14,true,true,2,95,145,Q91WA6,297,347,300,341,1.0,0.8653846153846154,0.9,0.9574468085106383,score,,,,Foldseek,report,report,flexible linker,47,49.87978723404255,0.8723404255319149,true,224,DKK4,false,0.10285714285714286,155,52,0.4528301886792453,false,0.6666666666666666,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,187
foldseek,foldseek,disprot,same_term,Q7RTP6,GO:0005515,1734,1918,1795,1917,O70480,28,130,46,117,1.0,0.6630434782608695,1.0,0.6630434782608695,18,16,true,true,2,1795,1917,O70480,28,130,46,117,1.0,0.6630434782608695,1.0,0.6630434782608695,score,,,,Foldseek,report,report,protein binding,184,58.91625,0.6304347826086957,true,2002,MICAL3,false,0.05901116427432217,299,15,0.3125,false,0.5271739130434783,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,60
foldseek,foldseek,disprot,same_term,Q9Y613,GO:0005515,1103,1164,1097,1164,P43528,211,261,250,263,1.0,0.9104477611940298,0.9104477611940298,1.0,6,5,true,true,2,1097,1164,P43528,211,261,250,263,1.0,0.9104477611940298,0.9104477611940298,1.0,score,,,,Foldseek,report,report,protein binding,61,59.266229508196716,1.0,true,1164,FHOD1,false,0.007285974499089253,314,41,0.7619047619047619,false,0.3770491803278688,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,17
foldseek,foldseek,disprot,same_term,O00273,GO:0005515,11,100,16,113,P00760,134,246,144,155,3.0,0.8235294117647058,0.865979381443299,0.9438202247191011,24,19,true,true,9,16,113,P00760,134,246,144,155,3.0,0.8235294117647058,0.865979381443299,0.9438202247191011,score,,,,Foldseek,report,report,protein binding,89,71.22595505617977,0.07865168539325842,true,331,DFFA,false,0.09787234042553192,229,60,0.36065573770491804,false,0.651685393258427,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT >= 70,151
foldseek,foldseek,disprot,same_term,P54252,GO:0005515,193,361,198,357,Q60795,13,178,0,98,5.0,0.9464285714285714,1.0,0.9464285714285714,69,53,true,true,20,198,357,Q60795,13,178,0,98,5.0,0.9464285714285714,1.0,0.9464285714285714,score,,,,Foldseek,report,report,protein binding,168,60.15678571428572,0.6369047619047619,true,361,ATXN3,false,0.2019704433497537,100,78,0.1518987341772152,false,0.9583333333333334,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,"inside, lower IoU",pLDDT < 70,248
foldseek,foldseek,disprot,same_term,P17096,GO:0005515,0,107,0,105,Q9DCL8,14,125,56,129,0.0,0.9813084112149533,1.0,0.9813084112149533,27,20,true,true,20,0,105,Q9DCL8,14,125,56,129,0.0,0.9813084112149533,1.0,0.9813084112149533,score,,,,Foldseek,report,report,protein binding,107,65.0285046728972,1.0,true,107,HMGA1,false,1.0,114,24,0.24,false,0.4485981308411215,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,162
foldseek,foldseek,disprot,same_term,P17096,GO:0060090,0,107,0,104,O43070,410,530,476,526,0.0,0.9719626168224299,1.0,0.9719626168224299,9,5,true,true,5,0,104,O43070,410,530,476,526,0.0,0.9719626168224299,1.0,0.9719626168224299,score,,,,Foldseek,report,choose,molecular adaptor activity,107,65.0285046728972,1.0,true,107,HMGA1,false,1.0,83,24,0.08,false,0.38317757009345793,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,162
foldseek,foldseek,disprot,same_term,P38398,GO:0005515,303,394,277,394,Q9SQK3,0,130,39,112,5.0,0.7777777777777778,0.7777777777777778,1.0,71,53,true,true,3,325,409,Q9M4V2,1,82,0,80,3.0,0.6509433962264151,0.8214285714285714,0.7582417582417582,score,,,,Foldseek,report,report,protein binding,91,33.37802197802198,1.0,true,1863,BRCA1,false,0.02247191011235955,201,22,0.43478260869565216,false,0.717391304347826,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,154
foldseek,foldseek,disprot,same_term,P55036,GO:0005515,304,377,310,368,Q9LZP9,42,106,53,131,6.0,0.7945205479452054,1.0,0.7945205479452054,78,61,true,true,2,310,368,Q9LZP9,42,106,53,131,6.0,0.7945205479452054,1.0,0.7945205479452054,score,,,,Foldseek,report,report,protein binding,73,55.51465753424658,1.0,true,377,PSMD4,false,0.084375,165,86,0.39080459770114945,false,0.5205479452054794,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,246
foldseek,foldseek,disprot,same_term,Q9NR61,GO:0005515,552,685,558,676,O43070,354,503,476,526,4.0,0.8872180451127819,1.0,0.8872180451127819,78,58,true,true,22,558,676,O43070,354,503,476,526,4.0,0.8872180451127819,1.0,0.8872180451127819,score,,,,Foldseek,report,report,protein binding,133,37.275263157894734,0.8195488721804511,true,685,DLL4,false,0.06866197183098592,117,96,0.17525773195876287,false,0.3383458646616541,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,244
foldseek,foldseek,disprot,same_term,P17096,GO:0003723,0,107,0,98,P53927,0,77,0,80,4.0,0.9158878504672897,1.0,0.9158878504672897,1,1,true,true,1,0,98,P53927,0,77,0,80,4.0,0.9158878504672897,1.0,0.9158878504672897,score,,,,Foldseek,report,choose,RNA binding,107,65.0285046728972,1.0,true,107,HMGA1,false,1.0,100,24,0.12,false,0.9906542056074766,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,"inside, lower IoU",pLDDT < 70,162
foldseek,foldseek,disprot,same_term,Q16186,IDPO:0000033,131,252,79,246,P51400,92,229,151,232,15.0,0.6647398843930635,0.688622754491018,0.9504132231404959,28,25,true,false,0,,,,,,,,,,,,score,,,,Foldseek,report,report,flexible linker,121,47.94123966942149,1.0,true,407,ADRM1,false,,,,,false,0.5275590551181102,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,286
foldseek,foldseek,disprot,same_term,P11387,GO:0003677,0,174,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,Foldseek,report,report,DNA binding,174,36.0332183908046,1.0,true,765,TOP1,false,,,,,false,0.4942528735632184,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,no call,pLDDT < 70,154
foldseek,foldseek,disprot,same_term,Q9UBK2,GO:0005515,1,220,1,214,Q22472,138,357,0,378,4.0,0.9726027397260274,1.0,0.9726027397260274,106,78,true,true,29,1,214,Q22472,138,357,0,378,4.0,0.9726027397260274,1.0,0.9726027397260274,score,,,,Foldseek,report,report,protein binding,219,49.19452054794521,1.0,true,798,PPARGC1A,false,0.08532423208191127,132,96,0.041237113402061855,false,0.3150684931506849,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,194
foldseek,foldseek,disprot,same_term,P11387,GO:0140693,0,214,1,190,Q02199,44,232,0,260,-2.0,0.883177570093458,1.0,0.883177570093458,5,5,true,true,2,1,190,Q02199,44,232,0,260,-2.0,0.883177570093458,1.0,0.883177570093458,score,,,,Foldseek,report,choose,molecular condensate scaffold activity,214,39.66168224299066,0.9392523364485982,true,765,TOP1,false,0.10918544194107452,435,100,0.38613861386138615,false,0.3644859813084112,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,155
foldseek,foldseek,disprot,same_term,Q9H981,GO:0005515,400,507,399,503,Q9JM54,0,87,15,42,5.0,0.9537037037037037,0.9903846153846154,0.9626168224299065,70,60,true,true,24,399,503,Q9JM54,0,87,15,42,5.0,0.9537037037037037,0.9903846153846154,0.9626168224299065,score,,,,Foldseek,report,report,protein binding,107,54.71616822429907,0.7476635514018691,true,624,ACTR8,false,0.08445297504798464,147,99,0.1,false,0.5233644859813084,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,315
foldseek,foldseek,disprot,same_term,Q13625,GO:0005515,483,692,488,752,Q6GX35,628,943,725,825,-4.0,0.758364312267658,0.7727272727272727,0.9760765550239234,78,56,true,true,1,523,726,Q9LUA9,118,315,174,208,0.0,0.6954732510288066,0.8325123152709359,0.8086124401913876,score,,,,Foldseek,report,report,protein binding,209,35.06693779904306,1.0,true,1128,TP53BP2,false,0.0939524838012959,309,52,0.32075471698113206,false,0.3014354066985646,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,134
foldseek,foldseek,disprot,same_term,P31321,IDPO:0000033,58,81,56,103,P83917,63,120,78,103,0.0,0.48936170212765956,0.48936170212765956,1.0,28,25,false,false,0,,,,,,,,,,,,score,,,,Foldseek,report,report,flexible linker,23,64.65,0.6956521739130435,true,381,PRKAR1B,false,,,,,false,0.7916666666666666,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,spills,pLDDT < 70,226
foldseek,foldseek,disprot,same_term,P04156,GO:0060090,22,124,31,117,P53780,0,87,56,84,3.0,0.8431372549019608,1.0,0.8431372549019608,10,9,true,true,1,31,117,P53780,0,87,56,84,3.0,0.8431372549019608,1.0,0.8431372549019608,score,,,,Foldseek,report,choose,molecular adaptor activity,102,40.65196078431372,1.0,true,253,PRNP,false,0.30357142857142855,94,54,0.10909090909090909,false,0.6851851851851852,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,182
foldseek,foldseek,disprot,same_term,Q01970,GO:0140677,882,933,870,1028,Q08605,355,507,367,444,1.0,0.3227848101265823,0.3227848101265823,1.0,1,1,false,false,0,,,,,,,,,,,,score,,,,Foldseek,report,choose,molecular function activator activity,51,34.169411764705885,1.0,true,1234,PLCB3,false,,,,,false,0.7647058823529411,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,spills,pLDDT < 70,94
foldseek,foldseek,disprot,same_term,Q13316,GO:0005509,217,513,,,,,,,,,,,,0,,,false,,,,,,,,,,,,,,,,,Foldseek,report,choose,calcium ion binding,296,46.08885135135135,1.0,true,513,DMP1,false,,,,,false,0.48986486486486486,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,no call,pLDDT < 70,44
foldseek,foldseek,disprot,same_term,Q15109,GO:0060090,363,404,346,403,O94742,0,44,0,70,12.0,0.6896551724137931,0.7017543859649122,0.975609756097561,2,2,true,false,0,,,,,,,,,,,,score,,,,Foldseek,report,choose,molecular adaptor activity,41,61.53365853658537,1.0,true,404,AGER,false,,,,,false,0.975609756097561,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,"inside, lower IoU",pLDDT < 70,54
foldseek,foldseek,disprot,same_term,Q9NQI0,GO:0140693,0,236,0,254,P78953,93,380,0,452,4.0,0.9291338582677166,0.9291338582677166,1.0,4,4,true,true,1,0,254,P78953,93,380,0,452,4.0,0.9291338582677166,0.9291338582677166,1.0,score,,,,Foldseek,report,choose,molecular condensate scaffold activity,236,35.59546610169492,1.0,true,724,DDX4,false,0.07006369426751592,128,102,0.22330097087378642,false,0.6638655462184874,kmerseek.hp_pbotc_1st_ed2_k19_lcFalse,equal or higher IoU,pLDDT < 70,209
