symbol,accession,pfam_id,uniprot_length,domain_start,domain_end
ACE2,Q9BYF1,PF01401,805,21,606
ACE2,Q9BYF1,PF16959,805,617,770
ADGB,Q8N7X0,PF00648,1667,193,292
ADGB,Q8N7X0,PF22068,1667,653,778
ADGB,Q8N7X0,PF22069,1667,988,1095
ADGB,Q8N7X0,PF22070,1667,1103,1377
FRG2,Q64ET8,PF15315,278,60,241
FRG2B,Q96QU4,PF15315,278,60,241
GPS1,Q13098,PF01399,491,346,427
GPS1,Q13098,PF10602,491,127,308
GPS1,Q13098,PF21151,491,431,458
JMJD1C,Q15652,PF02373,2540,2383,2481
JMJD1C,Q15652,PF22987,2540,181,255
JMJD1C,Q15652,PF22988,2540,81,179
JMJD1C,Q15652,PF22989,2540,8,71
LIMCH1,Q9UPQ0,PF00307,1083,27,111
LIMCH1,Q9UPQ0,PF00412,1083,1013,1074
LIMCH1,Q9UPQ0,PF15949,1083,250,418
LRRIQ1,Q96JM4,PF00612,1722,1337,1354
LRRIQ1,Q96JM4,PF00612,1722,1396,1415
LRRIQ1,Q96JM4,PF13855,1722,1037,1091
MUC16,Q8WXI7,PF01390,14507,12075,12182
MUC16,Q8WXI7,PF01390,14507,12231,12338
MUC16,Q8WXI7,PF01390,14507,12389,12496
MUC16,Q8WXI7,PF01390,14507,12546,12652
MUC16,Q8WXI7,PF01390,14507,12700,12807
MUC16,Q8WXI7,PF01390,14507,12856,12963
MUC16,Q8WXI7,PF01390,14507,13012,13119
MUC16,Q8WXI7,PF01390,14507,13168,13275
MUC16,Q8WXI7,PF01390,14507,13324,13431
MUC16,Q8WXI7,PF01390,14507,13481,13587
MUC16,Q8WXI7,PF01390,14507,13637,13743
MUC16,Q8WXI7,PF01390,14507,13793,13898
MUC16,Q8WXI7,PF01390,14507,13925,14032
MUC16,Q8WXI7,PF01390,14507,14077,14180
MUC16,Q8WXI7,PF01390,14507,14202,14271
MUC16,Q8WXI7,PF01390,14507,14321,14427
NDNF,Q8TB73,PF10179,568,192,335
NDNF,Q8TB73,PF19433,568,394,568
NDNF,Q8TB73,PF24354,568,41,169
NUP133,Q8WUM0,PF03177,1156,739,1062
ORC2,Q13416,PF04084,577,287,447
ORC2,Q13416,PF24882,577,504,563
PACS1,Q6VY07,PF10254,963,548,958
PACS1,Q6VY07,PF25332,963,99,259
PCDHGA9,Q9Y5G4,PF00028,932,140,233
PCDHGA9,Q9Y5G4,PF00028,932,247,337
PCDHGA9,Q9Y5G4,PF00028,932,356,443
PCDHGA9,Q9Y5G4,PF00028,932,457,552
PCDHGA9,Q9Y5G4,PF00028,932,583,664
PCDHGA9,Q9Y5G4,PF08266,932,30,112
PCDHGA9,Q9Y5G4,PF15974,932,811,932
PCDHGA9,Q9Y5G4,PF16492,932,688,772
PDIA5,Q14554,PF00085,519,156,257
PDIA5,Q14554,PF00085,519,278,378
PDIA5,Q14554,PF00085,519,399,502
PHF14,O94880,PF00628,948,728,776
PHF14,O94880,PF00628,948,871,918
PHF14,O94880,PF13831,948,334,359
PHF14,O94880,PF13832,948,384,498
PNN,Q9H307,PF04696,717,136,260
PNN,Q9H307,PF04697,717,1,132
BAZ2B,Q9UIF8,PF00439,2168,2069,2148
BAZ2B,Q9UIF8,PF00628,2168,1934,1978
BAZ2B,Q9UIF8,PF01429,2168,740,812
BAZ2B,Q9UIF8,PF02791,2168,1089,1149
BAZ2B,Q9UIF8,PF15613,2168,1373,1416
BMP3,P12645,PF00019,472,369,471
PWWP3A,Q2TAK8,PF20884,710,409,488
PWWP3A,Q2TAK8,PF20886,710,517,707
PWWP3A,Q2TAK8,PF20887,710,6,100
RAD50,Q92878,PF04423,1312,660,712
RAD50,Q92878,PF13476,1312,6,227
RAD50,Q92878,PF13558,1312,1176,1249
RIOK3,O14730,PF01163,519,265,460
RNMT,O43148,PF03291,476,137,475
RPS6KC1,Q96S38,PF00069,1066,895,1056
RPS6KC1,Q96S38,PF00787,1066,43,126
RPS6KC1,Q96S38,PF04212,1066,240,304
RSF1,Q96T23,PF00628,1441,894,938
RSF1,Q96T23,PF15612,1441,97,142
SENP2,Q9HC62,PF02902,589,410,580
SETD5,Q9C0A6,PF00856,1442,286,388
SFI1,A8K8P3,PF30858,1242,90,658
SIM1,P81133,PF00989,766,81,142
SIM1,P81133,PF06621,766,359,669
SIM1,P81133,PF08447,766,243,329
SIM1,P81133,PF23171,766,2,55
SLC16A7,O60669,PF07690,478,27,390
CAMSAP1,Q5T5Y3,PF08683,1602,1464,1582
CAMSAP1,Q5T5Y3,PF11971,1602,230,311
CAMSAP1,Q5T5Y3,PF17095,1602,869,921
CAMSAP1,Q5T5Y3,PF25532,1602,25,158
SON,P18583,PF01585,2426,2305,2348
SON,P18583,PF14709,2426,2371,2412
SON,P18583,PF17069,2426,1909,2109
SRRM2,Q9UQ35,PF08312,2752,58,101
TATDN2,Q93075,PF01026,761,496,760
TEKT3,Q9BXF9,PF03148,490,99,481
