NAME,SCOP,HP_SFAM,HP_SFAMCNT,FoldSeek_SFAM,FoldSeek_SFAMCNT,TEA_SFAM,TEA_SFAMCNT,HP_vs_FoldSeek,HP_vs_TEA
d1wqga_,d.67.3.1,1.0,3,0.0,0,0.0,0,1.0,1.0
d7lx0l_,f.31.1.0,1.0,2,0.0,0,0.0,0,1.0,1.0
d1tc5a1,c.110.1.1,1.0,3,0.0,0,0.0,0,1.0,1.0
d1glaf_,b.84.3.1,1.0,2,0.5,3,0.0,3,0.5,1.0
d1qwza1,b.100.1.1,1.0,3,0.0,0,0.0,0,1.0,1.0
d5yfka_,b.100.1.0,1.0,3,0.0,0,0.0,0,1.0,1.0
d1su3a2,b.66.1.1,1.0,2,0.0,0,0.0,0,1.0,1.0
d1qora1,b.35.1.2,1.0,2,0.0,20,0.0,20,1.0,1.0
d3kkra1,c.55.3.0,1.0,2,0.2,61,0.08,61,0.8,0.92
d4hbla1,a.4.5.0,1.0,2,0.432584,252,0.297753,252,0.5674159999999999,0.7022470000000001
d7dkzl_,f.31.1.0,1.0,2,0.0,0,0.0,0,1.0,1.0
d1ml4a1,c.78.1.1,1.0,2,0.3125,21,0.25,21,0.6875,0.75
d2pk0a1,d.219.1.0,1.0,2,0.0,0,0.0,0,1.0,1.0
d3v6ta_,a.298.1.1,1.0,13,0.0,0,0.0,0,1.0,1.0
d1pfoa1,f.69.1.1,1.0,7,0.0,0,0.0,0,1.0,1.0
d5xaqa_,c.110.1.0,1.0,3,0.0,0,0.0,0,1.0,1.0
d1s9ra_,d.126.1.4,1.0,3,0.0,0,0.0,0,1.0,1.0
d3u7qa_,c.92.2.3,1.0,3,0.742857,38,0.0285714,38,0.257143,0.9714286
d2frea1,d.90.1.1,1.0,2,0.0,0,0.0,0,1.0,1.0
d3w2wa3,d.58.53.7,1.0,2,0.0,17,0.0,17,1.0,1.0
d1suua_,b.68.10.1,1.0,3,0.5,3,0.5,3,0.5,0.5
d1ouva1,a.118.18.1,1.0,3,0.0,0,0.0,0,1.0,1.0
d6kp5a_,c.61.1.1,1.0,2,0.0,0,0.0,0,1.0,1.0
d1s71a1,d.265.1.2,1.0,2,0.0,0,0.0,0,1.0,1.0
d2b5dx2,c.6.2.4,1.0,3,0.5,17,0.117647,18,0.5,0.8823529999999999
d1o7ja_,c.88.1.1,1.0,2,0.0,0,0.0,0,1.0,1.0
d1h7sa2,d.122.1.2,1.0,2,0.0,0,0.0,0,1.0,1.0
d6xmya1,c.77.1.0,1.0,3,0.0,0,0.0,0,1.0,1.0
d1k1xa3,c.6.2.2,1.0,3,0.0,0,0.0,0,1.0,1.0
d6tita_,e.76.1.2,1.0,5,0.0,0,0.0,0,1.0,1.0
d1yoea1,c.70.1.0,1.0,4,0.0,0,0.0,0,1.0,1.0
d1knxa2,c.91.1.2,1.0,2,0.0,0,0.0,0,1.0,1.0
d1rhsa1,c.46.1.2,1.0,2,0.0,0,0.0,0,1.0,1.0
d2ekna_,d.58.21.0,1.0,2,0.0,0,0.0,0,1.0,1.0
d1ecfa1,c.61.1.1,1.0,2,0.0,0,0.0,0,1.0,1.0
d5mdmc_,e.76.1.0,1.0,5,0.0,0,0.0,0,1.0,1.0
d1ga2a2,b.2.2.2,1.0,2,0.4,22,0.4,22,0.6,0.6
d5a0yb1,d.58.31.2,1.0,3,0.25,5,0.25,5,0.75,0.75
d4l1fa1,e.6.1.0,1.0,3,0.0,0,0.0,0,1.0,1.0
d2ab4a2,d.265.1.2,1.0,2,0.0,0,0.0,0,1.0,1.0
d1gpra_,b.84.3.1,1.0,2,0.5,3,0.0,3,0.5,1.0
d6izha_,d.79.1.0,1.0,2,0.75,16,0.5,16,0.25,0.5
d3v4na2,c.95.1.2,1.0,3,0.0,0,0.0,0,1.0,1.0
d3jqka_,d.58.21.0,1.0,2,0.0,0,0.0,0,1.0,1.0
d1dd5a_,d.67.3.1,1.0,3,0.0,0,0.0,0,1.0,1.0
d2deba1,c.43.1.0,1.0,2,0.0,0,0.0,0,1.0,1.0
d3qsda_,d.3.1.0,1.0,2,0.0,0,0.0,0,1.0,1.0
d1zgka1,b.68.11.1,1.0,4,0.0,0,0.0,0,1.0,1.0
d3cmia_,c.47.1.0,1.0,3,0.484211,215,0.589474,215,0.515789,0.41052599999999995
d2p3ra3,c.55.1.4,1.0,3,0.534653,102,0.326733,102,0.46534699999999996,0.6732670000000001
d7rcaa1,d.258.1.1,1.0,2,0.0,0,0.0,0,1.0,1.0
d4e4ra1,c.77.1.5,1.0,2,0.0,0,0.0,0,1.0,1.0
d5azsa_,f.5.1.0,1.0,4,0.0,0,0.0,0,1.0,1.0
d1ngvb_,c.111.1.2,1.0,2,0.0,0,0.0,0,1.0,1.0
d3goda_,e.79.1.1,1.0,2,0.0,0,0.0,0,1.0,1.0
d6wfna_,d.108.1.0,1.0,2,0.0,0,0.0,0,1.0,1.0
d2iu4a1,c.119.1.0,1.0,3,0.0,0,0.0,0,1.0,1.0
d1b63a2,d.122.1.2,1.0,2,0.0,0,0.0,0,1.0,1.0
d1um0a_,d.258.1.1,1.0,2,0.0,0,0.0,0,1.0,1.0
d3riqa_,b.80.1.0,1.0,5,0.263158,22,0.842105,22,0.736842,0.157895
d4m5ra1,c.52.1.34,1.0,3,0.0217391,48,0.0434783,48,0.9782609,0.9565217
d1t6ca2,c.55.1.8,1.0,2,0.505051,102,0.383838,102,0.494949,0.616162
d4uw2a3,d.58.53.7,1.0,2,0.0,17,0.0,17,1.0,1.0
d6lbpa2,c.61.1.0,1.0,2,0.0,0,0.0,0,1.0,1.0
d3kzoa1,c.78.1.0,1.0,2,0.428571,21,0.428571,21,0.571429,0.571429
d3p0ya1,c.10.2.5,1.0,2,0.129032,32,0.0967742,32,0.870968,0.9032258
d1twfa_,e.29.1.2,0.8181818181818182,12,0.0,0,0.0,0,0.8181818181818182,0.8181818181818182
d1aoea_,c.71.1.1,0.8,6,0.0,0,0.0,0,0.8,0.8
d1wx1a_,c.39.1.1,0.75,5,0.0,0,0.0,0,0.75,0.75
