gene_symbol	uniprot	chr6_start	mhc_subregion	mhc_class	gene_class	pfam_families	n_domain_instances	mouse	chicken	zebrafish	ciona	fly	worm	yeast	arabidopsis	ecoli
H2BC1	Q96A08	25726777	extended class I		3 locus furniture	PF00125	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
SLC17A4	Q9Y2C5	25753300	extended class I		3 locus furniture	PF07690	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited
SLC17A1	Q14916	25781532	extended class I		3 locus furniture	PF07690	1	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	delimited	delimited
SLC17A3	O00476	25833066	extended class I		3 locus furniture	PF07690	1	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	delimited	delimited
SLC17A2	O00624	25906892	extended class I		3 locus furniture	PF07690	1	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	delimited	delimited
TRIM38	O00635	25962693	extended class I		3 locus furniture	PF00622;PF00643;PF13765;PF15227	4	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	delimited	called_not_covered
H1-1	Q02539	26017032	extended class I		3 locus furniture	PF00538	1	delimited	delimited	delimited	covered_not_delimited	covered_not_delimited	delimited	covered_not_delimited	covered_not_delimited	called_not_covered
H3C1	P68431	26020451	extended class I		3 locus furniture	PF00125	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
H4C1	P62805	26021649	extended class I		3 locus furniture	PF15511	1	delimited	delimited	delimited	called_not_covered	delimited	delimited	delimited	delimited	called_not_covered
H2AC4	P04908	26033092	extended class I		3 locus furniture	PF00125;PF16211	2	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
H2BC3	P33778	26042771	extended class I		3 locus furniture	PF00125	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
H1-2	P16403	26054760	extended class I		3 locus furniture	PF00538	1	delimited	delimited	delimited	delimited	covered_not_delimited	delimited	covered_not_delimited	covered_not_delimited	called_not_covered
H2BC4	P62807	26067392	extended class I		3 locus furniture	PF00125	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
HFE	Q30201	26087226	extended class I		3 locus furniture	PF00129;PF07654	2	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
H1-6	P22492	26107412	extended class I		3 locus furniture	PF00538	1	delimited	delimited	delimited	covered_not_delimited	covered_not_delimited	delimited	covered_not_delimited	covered_not_delimited	called_not_covered
H2AC6	Q93077	26124145	extended class I		3 locus furniture	PF00125;PF16211	2	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
H1-4	P10412	26156329	extended class I		3 locus furniture	PF00538	1	delimited	delimited	delimited	delimited	covered_not_delimited	delimited	covered_not_delimited	covered_not_delimited	called_not_covered
H2BC5	P58876	26158122	extended class I		3 locus furniture	PF00125	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
H2AC7	P20671	26198784	extended class I		3 locus furniture	PF00125;PF16211	2	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
H1-3	P16402	26234212	extended class I		3 locus furniture	PF00538	1	delimited	delimited	delimited	delimited	covered_not_delimited	delimited	covered_not_delimited	covered_not_delimited	called_not_covered
H2BC9	Q93079	26251614	extended class I		3 locus furniture	PF00125	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
BTN3A2	P78410	26365159	extended class I		2 immune-associated, conserved	PF07686;PF22705	2	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered
BTN2A2	Q8WVV5	26383091	extended class I		2 immune-associated, conserved	PF00622;PF07686;PF13765;PF22705	4	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered
BTN3A1	O00481	26402237	extended class I		2 immune-associated, conserved	PF00622;PF07686;PF13765;PF22705	4	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered
BTN2A3P	Q96KV6	26422119	extended class I		2 immune-associated, conserved	PF00622;PF07686;PF13765;PF22705	4	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered
BTN3A3	O00478	26440452	extended class I		2 immune-associated, conserved	PF00622;PF07686;PF13765;PF22705	4	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered
BTN2A1	Q7KYR7	26457904	extended class I		2 immune-associated, conserved	PF00622;PF07686;PF13765;PF22705	4	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered
BTN1A1	Q13410	26500303	extended class I		2 immune-associated, conserved	PF00622;PF07686;PF13765;PF22705	4	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered
HMGN4	O00479	26538200	extended class I		3 locus furniture	PF01101	1	delimited	delimited	delimited	not_called	not_called	not_called	not_called	called_not_covered	not_called
ABT1	Q9ULW3	26596928	extended class I		3 locus furniture	PF27577;PF27760	2	covered_not_delimited	called_not_covered	covered_not_delimited	covered_not_delimited	covered_not_delimited	covered_not_delimited	covered_not_delimited	covered_not_delimited	called_not_covered
ZNF322	Q6U7Q0	26634383	extended class I		3 locus furniture	PF00096	7	delimited	delimited	covered_not_delimited	covered_not_delimited	delimited	covered_not_delimited	covered_not_delimited	covered_not_delimited	called_not_covered
H2BC11	P06899	27087321	extended class I		3 locus furniture	PF00125	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
H2AC11	P0C0S8	27133043	extended class I		3 locus furniture	PF00125;PF16211	2	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
H2BC12	O60814	27135928	extended class I		3 locus furniture	PF00125	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
H2AC12	Q96KK5	27147106	extended class I		3 locus furniture	PF00125;PF16211	2	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
PRSS16	Q9NQE7	27247701	extended class I		3 locus furniture	PF05577	1	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	delimited	called_not_covered
POM121L2	Q96KW2	27285903	extended class I		3 locus furniture	PF15229	2	covered_not_delimited	called_not_covered	covered_not_delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
ZNF391	Q9UJN7	27374615	extended class I		3 locus furniture	PF00096	9	delimited	delimited	covered_not_delimited	covered_not_delimited	delimited	covered_not_delimited	covered_not_delimited	covered_not_delimited	called_not_covered
ZNF184	Q99676	27449021	extended class I		3 locus furniture	PF00096;PF01352;PF13465	19	delimited	covered_not_delimited	delimited	covered_not_delimited	delimited	covered_not_delimited	covered_not_delimited	covered_not_delimited	called_not_covered
H2BC13	Q99880	27805409	extended class I		3 locus furniture	PF00125	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
H2AC14	Q99878	27814302	extended class I		3 locus furniture	PF00125;PF16211	2	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
H2BC14	Q99879	27815022	extended class I		3 locus furniture	PF00125	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
H2BC15	Q99877	27838545	extended class I		3 locus furniture	PF00125	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
H1-5	P16401	27866792	extended class I		3 locus furniture	PF00538	1	delimited	delimited	delimited	delimited	covered_not_delimited	delimited	covered_not_delimited	covered_not_delimited	called_not_covered
H2BC17	P23527	27893425	extended class I		3 locus furniture	PF00125	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
OR2B2	Q9GZK3	27911185	extended class I		3 locus furniture	PF13853	1	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
OR2W6P	Q8NHA6	27937465	extended class I		3 locus furniture	PF13853	1	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
OR2B6	P58173	27957241	extended class I		3 locus furniture	PF13853	1	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
OR2B8	P59922	28053228	extended class I		3 locus furniture	PF13853	1	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
OR1F12P	Q8NHA8	28073316	extended class I		3 locus furniture	PF13853	1	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
ZNF165	P49910	28080276	extended class I		3 locus furniture	PF00096;PF02023	6	delimited	covered_not_delimited	covered_not_delimited	covered_not_delimited	delimited	covered_not_delimited	delimited	covered_not_delimited	called_not_covered
ZSCAN16	Q9H4T2	28107681	extended class I		3 locus furniture	PF00096;PF02023	5	delimited	delimited	delimited	delimited	delimited	delimited	covered_not_delimited	delimited	called_not_covered
ZKSCAN8	Q15776	28141732	extended class I		3 locus furniture	PF00096;PF01352;PF02023	11	delimited	delimited	delimited	covered_not_delimited	delimited	covered_not_delimited	covered_not_delimited	delimited	called_not_covered
ZSCAN9	O15535	28224886	extended class I		3 locus furniture	PF00096;PF02023	6	delimited	delimited	delimited	delimited	delimited	delimited	delimited	covered_not_delimited	called_not_covered
ZKSCAN4	Q969J2	28241011	extended class I		3 locus furniture	PF00096;PF01352;PF02023	9	delimited	covered_not_delimited	covered_not_delimited	delimited	delimited	covered_not_delimited	covered_not_delimited	covered_not_delimited	called_not_covered
NKAPL	Q5M9Q1	28259297	extended class I		3 locus furniture	PF06047;PF15692	2	covered_not_delimited	covered_not_delimited	covered_not_delimited	covered_not_delimited	covered_not_delimited	delimited	called_not_covered	covered_not_delimited	called_not_covered
ZSCAN26	Q16670	28267045	extended class I		3 locus furniture	PF00096;PF02023	8	delimited	delimited	covered_not_delimited	covered_not_delimited	delimited	covered_not_delimited	covered_not_delimited	covered_not_delimited	called_not_covered
PGBD1	Q96JS3	28281488	extended class I		3 locus furniture	PF02023;PF13843	2	delimited	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
ZSCAN31	Q96LW9	28312837	extended class I		3 locus furniture	PF00096;PF02023	7	delimited	delimited	delimited	delimited	delimited	delimited	covered_not_delimited	covered_not_delimited	called_not_covered
ZKSCAN3	Q9BRR0	28349911	extended class I		3 locus furniture	PF00096;PF01352;PF02023	9	delimited	delimited	covered_not_delimited	covered_not_delimited	delimited	covered_not_delimited	covered_not_delimited	covered_not_delimited	called_not_covered
ZSCAN12	O43309	28378821	extended class I		3 locus furniture	PF00096;PF02023	13	delimited	delimited	delimited	covered_not_delimited	delimited	covered_not_delimited	covered_not_delimited	covered_not_delimited	called_not_covered
ZSCAN23	Q3MJ62	28421577	extended class I		3 locus furniture	PF00096;PF02023	6	delimited	delimited	covered_not_delimited	covered_not_delimited	delimited	delimited	covered_not_delimited	delimited	called_not_covered
GPX6	P59796	28503296	extended class I		3 locus furniture	PF00255	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited
GPX5	O75715	28525881	extended class I		3 locus furniture	PF00255	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited
SCAND3	Q6R2W3	28570535	extended class I		3 locus furniture	PF02023;PF23663;PF27046;PF27073	4	delimited	called_not_covered	called_not_covered	covered_not_delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
TRIM27	P14373	28903002	extended class I		3 locus furniture	PF00622;PF00643;PF13765;PF15227	4	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	delimited	called_not_covered
ZNF311	Q5JNZ3	28994040	extended class I		3 locus furniture	PF00096;PF01352;PF13912	11	delimited	covered_not_delimited	covered_not_delimited	covered_not_delimited	delimited	covered_not_delimited	covered_not_delimited	delimited	called_not_covered
OR2W1	Q9Y3N9	29044213	extended class I		3 locus furniture	PF13853	1	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
OR2B3	O76000	29086208	extended class I		3 locus furniture	PF13853	1	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
OR2J1	Q9GZK6	29099490	extended class I		3 locus furniture	PF13853	1	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
OR2J3	O76001	29108058	extended class I		3 locus furniture	PF13853	1	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
OR2J2	O76002	29170907	extended class I		3 locus furniture	PF13853	1	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
OR14J1	Q9UGF5	29301701	extended class I		3 locus furniture	PF13853	1	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
OR5V1	Q9UGF6	29353749	extended class I		3 locus furniture	PF13853	1	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
OR12D3	Q9UGF7	29373423	extended class I		3 locus furniture	PF13853	1	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
OR12D2	P58182	29395631	extended class I		3 locus furniture	PF13853	1	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
OR12D1	P0DN82	29414928	extended class I		3 locus furniture	PF13853	1	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
OR11A1	Q9GZK7	29425504	extended class I		3 locus furniture	PF13853	1	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
OR10C1	Q96KK4	29439306	extended class I		3 locus furniture	PF13853	1	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
OR2H1	Q9GZK4	29457155	extended class I		3 locus furniture	PF13853	1	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
OR2I1	Q8NGU4	29550407	extended class I		3 locus furniture	PF13853	1	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
GABBR1	Q9UBS5	29552554	extended class I		3 locus furniture	PF00003;PF00084;PF01094	3	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	delimited	called_not_covered
UBD	O15205	29552554	extended class I		3 locus furniture	PF00240	2	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
OR2H2	O95918	29585121	extended class I		3 locus furniture	PF13853	1	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
MOG	Q16653	29656598	extended class I		3 locus furniture	PF07686	1	delimited	delimited	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered
ZFP57	Q9NU63	29672482	extended class I		3 locus furniture	PF00096;PF01352	6	delimited	delimited	covered_not_delimited	delimited	delimited	delimited	covered_not_delimited	covered_not_delimited	called_not_covered
HLA-F	P30511	29722738	class I	I non-classical	1 classical antigen-presenting	PF00129;PF07654	2	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
HLA-G	P17693	29826967	class I	I non-classical	1 classical antigen-presenting	PF00129;PF07654	2	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
HLA-H	P01893	29887752	class I		3 locus furniture	PF00129;PF06623;PF07654	3	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
HLA-A	P04439	29941260	class I	I classical	1 classical antigen-presenting	PF00129;PF06623;PF07654	3	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
POLR1H	Q9P1U0	30058899	class I		3 locus furniture	PF01096	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
PPP1R11	O60927	30066709	class I		3 locus furniture	PF07491	1	covered_not_delimited	not_called	covered_not_delimited	delimited	delimited	delimited	delimited	delimited	not_called
RNF39	Q9H2S5	30070266	class I		3 locus furniture	PF00622;PF13445;PF13765	3	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
TRIM31	Q9BZY9	30102886	class I		3 locus furniture	PF00643;PF15227	2	delimited	covered_not_delimited	delimited	covered_not_delimited	covered_not_delimited	delimited	called_not_covered	covered_not_delimited	called_not_covered
TRIM40	Q6P9F5	30136028	class I		3 locus furniture	PF00097	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
TRIM10	Q9UDY6	30151943	class I		3 locus furniture	PF00097;PF00622;PF00643;PF13765	4	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
TRIM15	Q9C019	30163194	class I		3 locus furniture	PF00097;PF00622;PF00643;PF13765	4	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered
TRIM26	Q12899	30184446	class I		3 locus furniture	PF00622;PF00643;PF13765;PF15227	4	delimited	delimited	delimited	delimited	covered_not_delimited	delimited	called_not_covered	delimited	called_not_covered
TRIM39	Q9HCM9	30325880	class I		3 locus furniture	PF00622;PF00643;PF13765;PF15227	4	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	delimited	called_not_covered
RPP21	Q9H633	30345125	class I		3 locus furniture	PF04032	1	delimited	called_not_covered	called_not_covered	delimited	delimited	called_not_covered	delimited	called_not_covered	called_not_covered
HLA-E	P13747	30489495	class I	I non-classical	1 classical antigen-presenting	PF00129;PF06623;PF07654	3	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
GNL1	P36915	30541212	class I		3 locus furniture	PF01926	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited
PRR3	P79522	30556704	class I		3 locus furniture	PF00642	1	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	not_called
ABCF1	Q8NE71	30571383	class I		3 locus furniture	PF00005	2	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited
PPP1R10	Q96QC0	30600400	class I		3 locus furniture	PF00642;PF08711	2	delimited	delimited	delimited	delimited	covered_not_delimited	delimited	delimited	delimited	called_not_covered
MRPS18B	Q9Y676	30617759	class I		3 locus furniture	PF01084	1	delimited	called_not_covered	covered_not_delimited	covered_not_delimited	delimited	delimited	delimited	delimited	delimited
ATAT1	Q5SQI0	30626837	class I		3 locus furniture	PF05301	1	delimited	called_not_covered	delimited	delimited	delimited	delimited	called_not_covered	called_not_covered	called_not_covered
C6orf136	Q5SQH8	30647003	class I		3 locus furniture	PF10184	1	covered_not_delimited	called_not_covered	delimited	delimited	delimited	delimited	called_not_covered	delimited	called_not_covered
DHX16	O60231	30652469	class I		3 locus furniture	PF00270;PF00271;PF04408;PF07717;PF21010	5	covered_not_delimited	covered_not_delimited	covered_not_delimited	delimited	delimited	covered_not_delimited	delimited	delimited	covered_not_delimited
PPP1R18	Q6NYC8	30676389	class I		3 locus furniture	PF13914;PF13916	2	covered_not_delimited	called_not_covered	delimited	covered_not_delimited	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
MDC1	Q14676	30699807	class I		3 locus furniture	PF00498;PF16589;PF16770	3	delimited	covered_not_delimited	delimited	delimited	delimited	covered_not_delimited	delimited	delimited	called_not_covered
TUBB	P07437	30717435	class I		3 locus furniture	PF00091;PF03953	2	covered_not_delimited	delimited	covered_not_delimited	delimited	covered_not_delimited	covered_not_delimited	covered_not_delimited	covered_not_delimited	delimited
FLOT1	O75955	30727709	class I		3 locus furniture	PF01145	1	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	delimited	delimited
DDR1	Q08345	30876421	class I		3 locus furniture	PF00754;PF07714;PF21114	3	delimited	delimited	delimited	delimited	delimited	delimited	called_not_covered	delimited	called_not_covered
GTF2H4	Q92759	30907517	class I		3 locus furniture	PF03849;PF18307	2	delimited	called_not_covered	called_not_covered	covered_not_delimited	delimited	delimited	delimited	delimited	called_not_covered
VARS2	Q5ST30	30914205	class I		3 locus furniture	PF00133;PF08264	2	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited	delimited
SFTA2	Q6UW10	30931353	class I		3 locus furniture	PF15210	1	delimited	not_called	not_called	called_not_covered	called_not_covered	not_called	not_called	not_called	not_called
MUC21	Q5SSG8	30983718	class I		3 locus furniture	PF05647;PF14654	13	covered_not_delimited	called_not_covered	not_called	called_not_covered	called_not_covered	covered_not_delimited	called_not_covered	called_not_covered	called_not_covered
MUC22	E2RYF6	31010474	class I		3 locus furniture	PF14654	1	covered_not_delimited	not_called	called_not_covered	not_called	called_not_covered	called_not_covered	called_not_covered	called_not_covered	called_not_covered
